 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/146La_in_ch2.txt

 Ion = Lanthanum    [57] , Mass = 145.9257 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lanthanum    [57] , Mass = 145.9257 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.622E-01  2.823E+00      80 A        16 A        11 A   
   1.10 keV   1.702E-01  2.963E+00      83 A        16 A        11 A   
   1.20 keV   1.777E-01  3.096E+00      86 A        17 A        12 A   
   1.30 keV   1.850E-01  3.223E+00      89 A        18 A        12 A   
   1.40 keV   1.920E-01  3.343E+00      92 A        18 A        13 A   
   1.50 keV   1.987E-01  3.459E+00      95 A        19 A        13 A   
   1.60 keV   2.052E-01  3.569E+00      98 A        19 A        13 A   
   1.70 keV   2.115E-01  3.675E+00     100 A        19 A        14 A   
   1.80 keV   2.177E-01  3.778E+00     103 A        20 A        14 A   
   2.00 keV   2.295E-01  3.972E+00     108 A        21 A        15 A   
   2.25 keV   2.434E-01  4.197E+00     113 A        22 A        15 A   
   2.50 keV   2.565E-01  4.406E+00     119 A        23 A        16 A   
   2.75 keV   2.691E-01  4.601E+00     124 A        24 A        17 A   
   3.00 keV   2.810E-01  4.784E+00     129 A        25 A        17 A   
   3.25 keV   2.925E-01  4.957E+00     134 A        25 A        18 A   
   3.50 keV   3.035E-01  5.120E+00     139 A        26 A        19 A   
   3.75 keV   3.142E-01  5.275E+00     144 A        27 A        19 A   
   4.00 keV   3.245E-01  5.423E+00     148 A        28 A        20 A   
