 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/159Sm_in_ch2.txt

 Ion = Samarium     [62] , Mass = 158.9332 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Samarium     [62] , Mass = 158.9332 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.644E-01  2.780E+00      82 A        16 A        11 A   
   1.10 keV   1.724E-01  2.921E+00      86 A        16 A        11 A   
   1.20 keV   1.801E-01  3.055E+00      89 A        17 A        12 A   
   1.30 keV   1.875E-01  3.182E+00      92 A        17 A        12 A   
   1.40 keV   1.945E-01  3.303E+00      95 A        18 A        13 A   
   1.50 keV   2.014E-01  3.420E+00      98 A        18 A        13 A   
   1.60 keV   2.080E-01  3.531E+00     100 A        19 A        13 A   
   1.70 keV   2.144E-01  3.639E+00     103 A        19 A        14 A   
   1.80 keV   2.206E-01  3.742E+00     106 A        20 A        14 A   
   2.00 keV   2.325E-01  3.939E+00     111 A        21 A        14 A   
   2.25 keV   2.466E-01  4.168E+00     117 A        22 A        15 A   
   2.50 keV   2.600E-01  4.380E+00     122 A        23 A        16 A   
   2.75 keV   2.726E-01  4.579E+00     127 A        24 A        17 A   
   3.00 keV   2.848E-01  4.766E+00     133 A        24 A        17 A   
   3.25 keV   2.964E-01  4.943E+00     137 A        25 A        18 A   
   3.50 keV   3.076E-01  5.110E+00     142 A        26 A        18 A   
   3.75 keV   3.184E-01  5.270E+00     147 A        27 A        19 A   
   4.00 keV   3.288E-01  5.421E+00     151 A        27 A        19 A   
