 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/167Gd_in_ch2.txt

 Ion = Gadolinium   [64] , Mass = 166.9455 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gadolinium   [64] , Mass = 166.9455 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.110E-01  2.742E+00      76 A        13 A         9 A   
   1.10 keV   4.311E-01  2.882E+00      80 A        14 A        10 A   
   1.20 keV   4.503E-01  3.015E+00      83 A        15 A        10 A   
   1.30 keV   4.687E-01  3.142E+00      85 A        15 A        10 A   
   1.40 keV   4.864E-01  3.263E+00      88 A        15 A        11 A   
   1.50 keV   5.034E-01  3.378E+00      91 A        16 A        11 A   
   1.60 keV   5.199E-01  3.490E+00      93 A        16 A        11 A   
   1.70 keV   5.359E-01  3.597E+00      96 A        17 A        12 A   
   1.80 keV   5.515E-01  3.700E+00      98 A        17 A        12 A   
   2.00 keV   5.813E-01  3.897E+00     103 A        18 A        12 A   
   2.25 keV   6.166E-01  4.126E+00     109 A        19 A        13 A   
   2.50 keV   6.499E-01  4.338E+00     114 A        20 A        14 A   
   2.75 keV   6.816E-01  4.538E+00     119 A        20 A        14 A   
   3.00 keV   7.120E-01  4.725E+00     124 A        21 A        15 A   
   3.25 keV   7.410E-01  4.903E+00     128 A        22 A        15 A   
   3.50 keV   7.690E-01  5.071E+00     133 A        23 A        16 A   
   3.75 keV   7.960E-01  5.231E+00     137 A        23 A        16 A   
   4.00 keV   8.221E-01  5.383E+00     141 A        24 A        17 A   
