 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/172Dy_in_ch2.txt

 Ion = Dysprosium   [66] , Mass = 171.9487 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Dysprosium   [66] , Mass = 171.9487 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.909E-01  2.726E+00      78 A        14 A         9 A   
   1.10 keV   4.100E-01  2.866E+00      81 A        14 A        10 A   
   1.20 keV   4.282E-01  2.999E+00      84 A        15 A        10 A   
   1.30 keV   4.457E-01  3.126E+00      87 A        15 A        10 A   
   1.40 keV   4.626E-01  3.247E+00      90 A        16 A        11 A   
   1.50 keV   4.788E-01  3.364E+00      92 A        16 A        11 A   
   1.60 keV   4.945E-01  3.475E+00      95 A        16 A        11 A   
   1.70 keV   5.097E-01  3.583E+00      98 A        17 A        12 A   
   1.80 keV   5.245E-01  3.686E+00     100 A        17 A        12 A   
   2.00 keV   5.529E-01  3.884E+00     105 A        18 A        13 A   
   2.25 keV   5.864E-01  4.113E+00     110 A        19 A        13 A   
   2.50 keV   6.181E-01  4.327E+00     116 A        20 A        14 A   
   2.75 keV   6.483E-01  4.528E+00     121 A        21 A        14 A   
   3.00 keV   6.771E-01  4.717E+00     125 A        21 A        15 A   
   3.25 keV   7.048E-01  4.895E+00     130 A        22 A        15 A   
   3.50 keV   7.314E-01  5.065E+00     135 A        23 A        16 A   
   3.75 keV   7.570E-01  5.226E+00     139 A        23 A        16 A   
   4.00 keV   7.819E-01  5.380E+00     143 A        24 A        17 A   
