 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/179Tm_in_ch2.txt

 Ion = Thulium      [69] , Mass = 178.955 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Thulium      [69] , Mass = 178.955 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.842E-01  2.705E+00      79 A        14 A         9 A   
   1.10 keV   4.030E-01  2.846E+00      82 A        14 A        10 A   
   1.20 keV   4.209E-01  2.979E+00      85 A        15 A        10 A   
   1.30 keV   4.381E-01  3.106E+00      88 A        15 A        10 A   
   1.40 keV   4.546E-01  3.228E+00      91 A        16 A        11 A   
   1.50 keV   4.706E-01  3.344E+00      94 A        16 A        11 A   
   1.60 keV   4.860E-01  3.456E+00      97 A        16 A        11 A   
   1.70 keV   5.010E-01  3.564E+00      99 A        17 A        12 A   
   1.80 keV   5.155E-01  3.669E+00     102 A        17 A        12 A   
   2.00 keV   5.434E-01  3.867E+00     106 A        18 A        13 A   
   2.25 keV   5.764E-01  4.098E+00     112 A        19 A        13 A   
   2.50 keV   6.075E-01  4.314E+00     117 A        20 A        14 A   
   2.75 keV   6.372E-01  4.516E+00     122 A        21 A        14 A   
   3.00 keV   6.655E-01  4.707E+00     127 A        21 A        15 A   
   3.25 keV   6.927E-01  4.887E+00     132 A        22 A        15 A   
   3.50 keV   7.188E-01  5.058E+00     136 A        23 A        16 A   
   3.75 keV   7.441E-01  5.222E+00     141 A        23 A        16 A   
   4.00 keV   7.685E-01  5.377E+00     145 A        24 A        17 A   
