 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/183Os_in_ch2.txt

 Ion = Osmium       [76] , Mass = 182.9531 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Osmium       [76] , Mass = 182.9531 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.412E-01  2.738E+00      77 A        13 A         9 A   
   1.10 keV   4.627E-01  2.882E+00      81 A        14 A         9 A   
   1.20 keV   4.833E-01  3.019E+00      83 A        14 A        10 A   
   1.30 keV   5.030E-01  3.149E+00      86 A        15 A        10 A   
   1.40 keV   5.220E-01  3.274E+00      89 A        15 A        10 A   
   1.50 keV   5.403E-01  3.394E+00      92 A        15 A        11 A   
   1.60 keV   5.580E-01  3.509E+00      94 A        16 A        11 A   
   1.70 keV   5.752E-01  3.620E+00      97 A        16 A        11 A   
   1.80 keV   5.919E-01  3.728E+00      99 A        17 A        11 A   
   2.00 keV   6.239E-01  3.932E+00     104 A        17 A        12 A   
   2.25 keV   6.618E-01  4.171E+00     109 A        18 A        13 A   
   2.50 keV   6.976E-01  4.394E+00     114 A        19 A        13 A   
   2.75 keV   7.316E-01  4.604E+00     119 A        20 A        14 A   
   3.00 keV   7.641E-01  4.801E+00     124 A        20 A        14 A   
   3.25 keV   7.953E-01  4.989E+00     128 A        21 A        15 A   
   3.50 keV   8.254E-01  5.167E+00     133 A        22 A        15 A   
   3.75 keV   8.543E-01  5.337E+00     137 A        22 A        16 A   
   4.00 keV   8.823E-01  5.499E+00     141 A        23 A        16 A   
