 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/194Pt_in_ch2.txt

 Ion = Platinum     [78] , Mass = 193.9627 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Platinum     [78] , Mass = 193.9627 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.748E-01  2.679E+00      78 A        13 A         9 A   
   1.10 keV   4.980E-01  2.821E+00      82 A        13 A         9 A   
   1.20 keV   5.201E-01  2.956E+00      85 A        14 A         9 A   
   1.30 keV   5.414E-01  3.085E+00      87 A        14 A        10 A   
   1.40 keV   5.618E-01  3.209E+00      90 A        15 A        10 A   
   1.50 keV   5.815E-01  3.327E+00      93 A        15 A        10 A   
   1.60 keV   6.006E-01  3.441E+00      95 A        15 A        11 A   
   1.70 keV   6.191E-01  3.551E+00      98 A        16 A        11 A   
   1.80 keV   6.370E-01  3.657E+00     100 A        16 A        11 A   
   2.00 keV   6.715E-01  3.860E+00     105 A        17 A        12 A   
   2.25 keV   7.122E-01  4.097E+00     111 A        18 A        12 A   
   2.50 keV   7.507E-01  4.318E+00     116 A        19 A        13 A   
   2.75 keV   7.874E-01  4.526E+00     121 A        19 A        13 A   
   3.00 keV   8.224E-01  4.722E+00     125 A        20 A        14 A   
   3.25 keV   8.560E-01  4.908E+00     130 A        21 A        14 A   
   3.50 keV   8.883E-01  5.086E+00     134 A        21 A        15 A   
   3.75 keV   9.195E-01  5.255E+00     139 A        22 A        15 A   
   4.00 keV   9.496E-01  5.417E+00     143 A        23 A        16 A   
