 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/195Au_in_ch2.txt

 Ion = Gold         [79] , Mass = 194.965 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gold         [79] , Mass = 194.965 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.645E-01  2.680E+00      79 A        13 A         9 A   
   1.10 keV   4.871E-01  2.823E+00      82 A        13 A         9 A   
   1.20 keV   5.088E-01  2.958E+00      85 A        14 A        10 A   
   1.30 keV   5.296E-01  3.087E+00      88 A        14 A        10 A   
   1.40 keV   5.496E-01  3.211E+00      91 A        15 A        10 A   
   1.50 keV   5.689E-01  3.329E+00      93 A        15 A        10 A   
   1.60 keV   5.875E-01  3.444E+00      96 A        16 A        11 A   
   1.70 keV   6.056E-01  3.554E+00      98 A        16 A        11 A   
   1.80 keV   6.231E-01  3.661E+00     101 A        16 A        11 A   
   2.00 keV   6.569E-01  3.864E+00     105 A        17 A        12 A   
   2.25 keV   6.967E-01  4.101E+00     111 A        18 A        12 A   
   2.50 keV   7.344E-01  4.323E+00     116 A        19 A        13 A   
   2.75 keV   7.702E-01  4.532E+00     121 A        19 A        13 A   
   3.00 keV   8.045E-01  4.729E+00     126 A        20 A        14 A   
   3.25 keV   8.373E-01  4.916E+00     130 A        21 A        14 A   
   3.50 keV   8.689E-01  5.094E+00     135 A        21 A        15 A   
   3.75 keV   8.994E-01  5.264E+00     139 A        22 A        15 A   
   4.00 keV   9.289E-01  5.427E+00     143 A        23 A        16 A   
