 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/223Th_in_ch2.txt

 Ion = Thorium      [90] , Mass = 223.0208 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Thorium      [90] , Mass = 223.0208 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.548E-01  2.581E+00      83 A        13 A         9 A   
   1.10 keV   4.770E-01  2.722E+00      87 A        13 A         9 A   
   1.20 keV   4.982E-01  2.855E+00      90 A        14 A         9 A   
   1.30 keV   5.186E-01  2.983E+00      93 A        14 A        10 A   
   1.40 keV   5.382E-01  3.106E+00      96 A        15 A        10 A   
   1.50 keV   5.571E-01  3.224E+00      98 A        15 A        10 A   
   1.60 keV   5.753E-01  3.337E+00     101 A        15 A        11 A   
   1.70 keV   5.930E-01  3.447E+00     104 A        16 A        11 A   
   1.80 keV   6.102E-01  3.553E+00     106 A        16 A        11 A   
   2.00 keV   6.432E-01  3.756E+00     111 A        17 A        12 A   
   2.25 keV   6.823E-01  3.994E+00     117 A        18 A        12 A   
   2.50 keV   7.192E-01  4.217E+00     122 A        19 A        13 A   
   2.75 keV   7.543E-01  4.427E+00     127 A        19 A        13 A   
   3.00 keV   7.878E-01  4.626E+00     132 A        20 A        14 A   
   3.25 keV   8.200E-01  4.815E+00     137 A        21 A        14 A   
   3.50 keV   8.509E-01  4.995E+00     141 A        21 A        15 A   
   3.75 keV   8.808E-01  5.168E+00     146 A        22 A        15 A   
   4.00 keV   9.097E-01  5.333E+00     150 A        22 A        15 A   
