 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/231Fr_in_ch2.txt

 Ion = Francium     [87] , Mass = 231.0452 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Francium     [87] , Mass = 231.0452 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.512E-01  2.519E+00      85 A        13 A         9 A   
   1.10 keV   4.733E-01  2.656E+00      89 A        13 A         9 A   
   1.20 keV   4.943E-01  2.786E+00      92 A        14 A         9 A   
   1.30 keV   5.145E-01  2.911E+00      95 A        14 A        10 A   
   1.40 keV   5.339E-01  3.031E+00      98 A        15 A        10 A   
   1.50 keV   5.526E-01  3.146E+00     101 A        15 A        10 A   
   1.60 keV   5.708E-01  3.256E+00     103 A        16 A        11 A   
   1.70 keV   5.883E-01  3.364E+00     106 A        16 A        11 A   
   1.80 keV   6.054E-01  3.467E+00     109 A        16 A        11 A   
   2.00 keV   6.381E-01  3.665E+00     114 A        17 A        12 A   
   2.25 keV   6.768E-01  3.897E+00     119 A        18 A        12 A   
   2.50 keV   7.135E-01  4.114E+00     125 A        19 A        13 A   
   2.75 keV   7.483E-01  4.319E+00     130 A        19 A        13 A   
   3.00 keV   7.815E-01  4.513E+00     135 A        20 A        14 A   
   3.25 keV   8.135E-01  4.698E+00     140 A        21 A        14 A   
   3.50 keV   8.442E-01  4.873E+00     144 A        21 A        15 A   
   3.75 keV   8.738E-01  5.042E+00     149 A        22 A        15 A   
   4.00 keV   9.025E-01  5.203E+00     153 A        23 A        16 A   
