 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 28, 2024 
 ==================================================================

 Disk File Name = range/ch2/32S_in_ch2.txt

 Ion = Sulfur       [16] , Mass = 31.97207 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 31.97207 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.295E-01  2.575E+00      54 A        18 A        13 A   
   1.10 keV   3.456E-01  2.652E+00      57 A        18 A        14 A   
   1.20 keV   3.610E-01  2.722E+00      60 A        19 A        15 A   
   1.30 keV   3.757E-01  2.786E+00      63 A        20 A        15 A   
   1.40 keV   3.899E-01  2.845E+00      65 A        21 A        16 A   
   1.50 keV   4.036E-01  2.900E+00      68 A        21 A        16 A   
   1.60 keV   4.168E-01  2.951E+00      71 A        22 A        17 A   
   1.70 keV   4.297E-01  2.998E+00      74 A        23 A        18 A   
   1.80 keV   4.421E-01  3.043E+00      76 A        23 A        18 A   
   2.00 keV   4.660E-01  3.124E+00      81 A        25 A        19 A   
   2.25 keV   4.943E-01  3.213E+00      88 A        26 A        21 A   
   2.50 keV   5.210E-01  3.290E+00      94 A        28 A        22 A   
   2.75 keV   5.465E-01  3.358E+00     100 A        29 A        23 A   
   3.00 keV   5.708E-01  3.419E+00     106 A        31 A        24 A   
   3.25 keV   5.941E-01  3.473E+00     111 A        32 A        25 A   
   3.50 keV   6.165E-01  3.521E+00     117 A        34 A        26 A   
   3.75 keV   6.381E-01  3.565E+00     123 A        35 A        28 A   
   4.00 keV   6.591E-01  3.604E+00     128 A        36 A        29 A   
