 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 28, 2024 
 ==================================================================

 Disk File Name = range/ch2/36Cl_in_ch2.txt

 Ion = Chlorine     [17] , Mass = 35.96831 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Chlorine     [17] , Mass = 35.96831 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.761E-01  2.632E+00      54 A        17 A        13 A   
   1.10 keV   3.944E-01  2.714E+00      57 A        18 A        13 A   
   1.20 keV   4.120E-01  2.789E+00      60 A        18 A        14 A   
   1.30 keV   4.288E-01  2.858E+00      63 A        19 A        15 A   
   1.40 keV   4.450E-01  2.922E+00      65 A        20 A        15 A   
   1.50 keV   4.606E-01  2.982E+00      68 A        20 A        16 A   
   1.60 keV   4.757E-01  3.037E+00      71 A        21 A        16 A   
   1.70 keV   4.904E-01  3.089E+00      73 A        22 A        17 A   
   1.80 keV   5.046E-01  3.138E+00      76 A        22 A        17 A   
   2.00 keV   5.319E-01  3.227E+00      81 A        24 A        18 A   
   2.25 keV   5.641E-01  3.325E+00      87 A        25 A        19 A   
   2.50 keV   5.947E-01  3.412E+00      93 A        26 A        21 A   
   2.75 keV   6.237E-01  3.488E+00      99 A        28 A        22 A   
   3.00 keV   6.514E-01  3.557E+00     104 A        29 A        23 A   
   3.25 keV   6.780E-01  3.618E+00     110 A        30 A        24 A   
   3.50 keV   7.036E-01  3.673E+00     115 A        32 A        25 A   
   3.75 keV   7.283E-01  3.724E+00     120 A        33 A        26 A   
   4.00 keV   7.522E-01  3.770E+00     126 A        34 A        27 A   
