 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/99Kr_in_ch2.txt

 Ion = Krypton      [36] , Mass = 98.95878 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Krypton      [36] , Mass = 98.95878 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.720E-01  2.860E+00      68 A        15 A        11 A   
   1.10 keV   2.853E-01  2.987E+00      72 A        16 A        11 A   
   1.20 keV   2.980E-01  3.106E+00      74 A        17 A        12 A   
   1.30 keV   3.101E-01  3.219E+00      77 A        17 A        12 A   
   1.40 keV   3.219E-01  3.326E+00      80 A        18 A        13 A   
   1.50 keV   3.332E-01  3.427E+00      83 A        18 A        13 A   
   1.60 keV   3.441E-01  3.523E+00      85 A        19 A        13 A   
   1.70 keV   3.547E-01  3.615E+00      88 A        19 A        14 A   
   1.80 keV   3.650E-01  3.704E+00      90 A        20 A        14 A   
   2.00 keV   3.847E-01  3.869E+00      95 A        20 A        15 A   
   2.25 keV   4.080E-01  4.059E+00     101 A        22 A        16 A   
   2.50 keV   4.301E-01  4.233E+00     106 A        23 A        16 A   
   2.75 keV   4.511E-01  4.394E+00     111 A        23 A        17 A   
   3.00 keV   4.712E-01  4.543E+00     116 A        24 A        18 A   
   3.25 keV   4.904E-01  4.681E+00     121 A        25 A        19 A   
   3.50 keV   5.089E-01  4.812E+00     126 A        26 A        19 A   
   3.75 keV   5.268E-01  4.934E+00     131 A        27 A        20 A   
   4.00 keV   5.440E-01  5.050E+00     135 A        28 A        21 A   
