 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/101Sr_in_cu.txt

 Ion = Strontium    [38] , Mass = 100.9406 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 100.9406 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.955E-02  1.087E+00      13 A         8 A         6 A   
   1.10 keV   3.099E-02  1.139E+00      14 A         8 A         6 A   
   1.20 keV   3.237E-02  1.187E+00      14 A         9 A         6 A   
   1.30 keV   3.369E-02  1.233E+00      15 A         9 A         6 A   
   1.40 keV   3.496E-02  1.276E+00      15 A         9 A         7 A   
   1.50 keV   3.619E-02  1.318E+00      16 A         9 A         7 A   
   1.60 keV   3.737E-02  1.357E+00      16 A        10 A         7 A   
   1.70 keV   3.852E-02  1.395E+00      17 A        10 A         7 A   
   1.80 keV   3.964E-02  1.431E+00      17 A        10 A         7 A   
   2.00 keV   4.178E-02  1.500E+00      18 A        11 A         8 A   
   2.25 keV   4.432E-02  1.579E+00      19 A        11 A         8 A   
   2.50 keV   4.672E-02  1.652E+00      20 A        12 A         8 A   
   2.75 keV   4.900E-02  1.720E+00      21 A        12 A         9 A   
   3.00 keV   5.117E-02  1.783E+00      22 A        13 A         9 A   
   3.25 keV   5.326E-02  1.843E+00      23 A        13 A        10 A   
   3.50 keV   5.527E-02  1.899E+00      24 A        14 A        10 A   
   3.75 keV   5.721E-02  1.951E+00      25 A        14 A        10 A   
   4.00 keV   5.909E-02  2.001E+00      26 A        15 A        10 A   
   4.50 keV   6.268E-02  2.094E+00      28 A        15 A        11 A   
