 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/113Pd_in_cu.txt

 Ion = Palladium    [46] , Mass = 112.9103 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Palladium    [46] , Mass = 112.9103 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.104E-02  1.166E+00      13 A         8 A         5 A   
   1.10 keV   3.256E-02  1.223E+00      13 A         8 A         6 A   
   1.20 keV   3.400E-02  1.276E+00      14 A         8 A         6 A   
   1.30 keV   3.539E-02  1.327E+00      15 A         8 A         6 A   
   1.40 keV   3.673E-02  1.376E+00      15 A         9 A         6 A   
   1.50 keV   3.802E-02  1.422E+00      16 A         9 A         6 A   
   1.60 keV   3.926E-02  1.467E+00      16 A         9 A         7 A   
   1.70 keV   4.047E-02  1.509E+00      16 A         9 A         7 A   
   1.80 keV   4.164E-02  1.550E+00      17 A        10 A         7 A   
   2.00 keV   4.390E-02  1.628E+00      18 A        10 A         7 A   
   2.25 keV   4.656E-02  1.718E+00      19 A        11 A         8 A   
   2.50 keV   4.908E-02  1.801E+00      20 A        11 A         8 A   
   2.75 keV   5.147E-02  1.879E+00      21 A        12 A         8 A   
   3.00 keV   5.376E-02  1.951E+00      22 A        12 A         9 A   
   3.25 keV   5.596E-02  2.020E+00      23 A        12 A         9 A   
   3.50 keV   5.807E-02  2.084E+00      23 A        13 A         9 A   
   3.75 keV   6.011E-02  2.145E+00      24 A        13 A        10 A   
   4.00 keV   6.208E-02  2.203E+00      25 A        14 A        10 A   
   4.50 keV   6.585E-02  2.311E+00      27 A        14 A        10 A   
