 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/14O_in_cu.txt

 Ion = Oxygen       [8] , Mass = 14.0086 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Oxygen       [8] , Mass = 14.0086 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.377E-02  2.136E-01      17 A        20 A        16 A   
   1.10 keV   5.639E-02  2.196E-01      19 A        22 A        16 A   
   1.20 keV   5.890E-02  2.251E-01      20 A        23 A        17 A   
   1.30 keV   6.130E-02  2.300E-01      21 A        24 A        18 A   
   1.40 keV   6.362E-02  2.346E-01      22 A        25 A        19 A   
   1.50 keV   6.585E-02  2.388E-01      23 A        26 A        20 A   
   1.60 keV   6.801E-02  2.427E-01      24 A        27 A        21 A   
   1.70 keV   7.010E-02  2.463E-01      25 A        28 A        21 A   
   1.80 keV   7.214E-02  2.497E-01      26 A        29 A        22 A   
   2.00 keV   7.604E-02  2.558E-01      28 A        31 A        24 A   
   2.25 keV   8.065E-02  2.625E-01      31 A        34 A        26 A   
   2.50 keV   8.501E-02  2.682E-01      33 A        36 A        27 A   
   2.75 keV   8.916E-02  2.732E-01      36 A        38 A        29 A   
   3.00 keV   9.313E-02  2.776E-01      38 A        40 A        31 A   
   3.25 keV   9.693E-02  2.815E-01      41 A        43 A        33 A   
   3.50 keV   1.006E-01  2.850E-01      43 A        45 A        34 A   
   3.75 keV   1.041E-01  2.881E-01      46 A        47 A        36 A   
   4.00 keV   1.075E-01  2.908E-01      48 A        49 A        37 A   
   4.50 keV   1.141E-01  2.955E-01      53 A        53 A        41 A   
