 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/159Gd_in_cu.txt

 Ion = Gadolinium   [64] , Mass = 158.9264 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gadolinium   [64] , Mass = 158.9264 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.012E-02  1.272E+00      14 A         7 A         5 A   
   1.10 keV   7.354E-02  1.338E+00      14 A         7 A         5 A   
   1.20 keV   7.681E-02  1.401E+00      15 A         7 A         5 A   
   1.30 keV   7.995E-02  1.461E+00      15 A         7 A         6 A   
   1.40 keV   8.296E-02  1.518E+00      16 A         8 A         6 A   
   1.50 keV   8.588E-02  1.573E+00      16 A         8 A         6 A   
   1.60 keV   8.869E-02  1.625E+00      17 A         8 A         6 A   
   1.70 keV   9.142E-02  1.676E+00      17 A         8 A         6 A   
   1.80 keV   9.407E-02  1.725E+00      18 A         9 A         6 A   
   2.00 keV   9.916E-02  1.819E+00      18 A         9 A         7 A   
   2.25 keV   1.052E-01  1.928E+00      19 A         9 A         7 A   
   2.50 keV   1.109E-01  2.029E+00      20 A        10 A         7 A   
   2.75 keV   1.163E-01  2.125E+00      21 A        10 A         7 A   
   3.00 keV   1.214E-01  2.214E+00      22 A        11 A         8 A   
   3.25 keV   1.264E-01  2.299E+00      23 A        11 A         8 A   
   3.50 keV   1.312E-01  2.380E+00      24 A        11 A         8 A   
   3.75 keV   1.358E-01  2.457E+00      24 A        12 A         8 A   
   4.00 keV   1.402E-01  2.530E+00      25 A        12 A         9 A   
