 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/15Be_in_cu.txt

 Ion = Beryllium    [4] , Mass = 15.05349 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Beryllium    [4] , Mass = 15.05349 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.455E-02  1.464E-01      27 A        29 A        23 A   
   1.10 keV   2.574E-02  1.494E-01      29 A        31 A        24 A   
   1.20 keV   2.689E-02  1.521E-01      31 A        33 A        25 A   
   1.30 keV   2.799E-02  1.544E-01      33 A        35 A        27 A   
   1.40 keV   2.904E-02  1.566E-01      35 A        37 A        28 A   
   1.50 keV   3.006E-02  1.585E-01      37 A        38 A        30 A   
   1.60 keV   3.105E-02  1.602E-01      38 A        40 A        31 A   
   1.70 keV   3.200E-02  1.618E-01      40 A        42 A        32 A   
   1.80 keV   3.293E-02  1.632E-01      42 A        44 A        34 A   
   2.00 keV   3.471E-02  1.657E-01      46 A        47 A        36 A   
   2.25 keV   3.682E-02  1.683E-01      51 A        51 A        39 A   
   2.50 keV   3.881E-02  1.703E-01      55 A        55 A        43 A   
   2.75 keV   4.070E-02  1.720E-01      60 A        59 A        46 A   
   3.00 keV   4.251E-02  1.733E-01      64 A        63 A        49 A   
   3.25 keV   4.425E-02  1.744E-01      69 A        67 A        52 A   
   3.50 keV   4.592E-02  1.752E-01      74 A        71 A        55 A   
   3.75 keV   4.753E-02  1.759E-01      78 A        75 A        58 A   
   4.00 keV   4.909E-02  1.764E-01      83 A        79 A        60 A   
   4.50 keV   5.207E-02  1.770E-01      92 A        86 A        66 A   
