 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/165Re_in_cu.txt

 Ion = Rhenium      [75] , Mass = 164.9671 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhenium      [75] , Mass = 164.9671 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.750E-02  1.322E+00      13 A         7 A         5 A   
   1.10 keV   8.129E-02  1.392E+00      14 A         7 A         5 A   
   1.20 keV   8.490E-02  1.458E+00      14 A         7 A         5 A   
   1.30 keV   8.837E-02  1.522E+00      15 A         7 A         5 A   
   1.40 keV   9.170E-02  1.583E+00      15 A         7 A         6 A   
   1.50 keV   9.492E-02  1.641E+00      16 A         8 A         6 A   
   1.60 keV   9.803E-02  1.697E+00      16 A         8 A         6 A   
   1.70 keV   1.011E-01  1.751E+00      17 A         8 A         6 A   
   1.80 keV   1.040E-01  1.804E+00      17 A         8 A         6 A   
   2.00 keV   1.096E-01  1.904E+00      18 A         9 A         6 A   
   2.25 keV   1.163E-01  2.021E+00      19 A         9 A         7 A   
   2.50 keV   1.225E-01  2.130E+00      20 A         9 A         7 A   
   2.75 keV   1.285E-01  2.232E+00      21 A        10 A         7 A   
   3.00 keV   1.342E-01  2.329E+00      21 A        10 A         7 A   
   3.25 keV   1.397E-01  2.421E+00      22 A        10 A         8 A   
   3.50 keV   1.450E-01  2.508E+00      23 A        11 A         8 A   
   3.75 keV   1.501E-01  2.592E+00      24 A        11 A         8 A   
   4.00 keV   1.550E-01  2.672E+00      24 A        11 A         8 A   
   4.50 keV   1.644E-01  2.822E+00      26 A        12 A         9 A   
