 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/200Pb_in_cu.txt

 Ion = Lead         [82] , Mass = 199.9718 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lead         [82] , Mass = 199.9718 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.600E-02  1.314E+00      15 A         6 A         5 A   
   1.10 keV   7.971E-02  1.385E+00      15 A         7 A         5 A   
   1.20 keV   8.326E-02  1.453E+00      16 A         7 A         5 A   
   1.30 keV   8.666E-02  1.517E+00      16 A         7 A         5 A   
   1.40 keV   8.993E-02  1.579E+00      17 A         7 A         5 A   
   1.50 keV   9.308E-02  1.639E+00      17 A         8 A         6 A   
   1.60 keV   9.614E-02  1.697E+00      18 A         8 A         6 A   
   1.70 keV   9.909E-02  1.752E+00      18 A         8 A         6 A   
   1.80 keV   1.020E-01  1.806E+00      19 A         8 A         6 A   
   2.00 keV   1.075E-01  1.908E+00      19 A         8 A         6 A   
   2.25 keV   1.140E-01  2.029E+00      20 A         9 A         7 A   
   2.50 keV   1.202E-01  2.141E+00      21 A         9 A         7 A   
   2.75 keV   1.260E-01  2.247E+00      22 A        10 A         7 A   
   3.00 keV   1.316E-01  2.348E+00      23 A        10 A         7 A   
   3.25 keV   1.370E-01  2.443E+00      24 A        10 A         8 A   
   3.50 keV   1.422E-01  2.534E+00      25 A        11 A         8 A   
   3.75 keV   1.472E-01  2.621E+00      25 A        11 A         8 A   
   4.00 keV   1.520E-01  2.704E+00      26 A        11 A         8 A   
   4.50 keV   1.612E-01  2.861E+00      28 A        12 A         9 A   
