 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/201Fr_in_cu.txt

 Ion = Francium     [87] , Mass = 201.0038 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Francium     [87] , Mass = 201.0038 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.052E-02  1.332E+00      14 A         6 A         5 A   
   1.10 keV   8.445E-02  1.404E+00      15 A         7 A         5 A   
   1.20 keV   8.820E-02  1.473E+00      16 A         7 A         5 A   
   1.30 keV   9.180E-02  1.539E+00      16 A         7 A         5 A   
   1.40 keV   9.527E-02  1.602E+00      17 A         7 A         5 A   
   1.50 keV   9.861E-02  1.663E+00      17 A         7 A         6 A   
   1.60 keV   1.018E-01  1.722E+00      17 A         8 A         6 A   
   1.70 keV   1.050E-01  1.779E+00      18 A         8 A         6 A   
   1.80 keV   1.080E-01  1.834E+00      18 A         8 A         6 A   
   2.00 keV   1.139E-01  1.939E+00      19 A         8 A         6 A   
   2.25 keV   1.208E-01  2.062E+00      20 A         9 A         6 A   
   2.50 keV   1.273E-01  2.177E+00      21 A         9 A         7 A   
   2.75 keV   1.335E-01  2.286E+00      22 A         9 A         7 A   
   3.00 keV   1.395E-01  2.389E+00      23 A        10 A         7 A   
   3.25 keV   1.452E-01  2.486E+00      24 A        10 A         7 A   
   3.50 keV   1.506E-01  2.580E+00      24 A        10 A         8 A   
   3.75 keV   1.559E-01  2.669E+00      25 A        11 A         8 A   
   4.00 keV   1.610E-01  2.755E+00      26 A        11 A         8 A   
   4.50 keV   1.708E-01  2.916E+00      27 A        12 A         8 A   
