 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/203At_in_cu.txt

 Ion = Astatine     [85] , Mass = 202.9869 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Astatine     [85] , Mass = 202.9869 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.987E-02  1.322E+00      15 A         6 A         5 A   
   1.10 keV   8.377E-02  1.393E+00      15 A         7 A         5 A   
   1.20 keV   8.749E-02  1.462E+00      16 A         7 A         5 A   
   1.30 keV   9.106E-02  1.527E+00      16 A         7 A         5 A   
   1.40 keV   9.450E-02  1.590E+00      17 A         7 A         5 A   
   1.50 keV   9.782E-02  1.651E+00      17 A         7 A         6 A   
   1.60 keV   1.010E-01  1.709E+00      18 A         8 A         6 A   
   1.70 keV   1.041E-01  1.765E+00      18 A         8 A         6 A   
   1.80 keV   1.072E-01  1.819E+00      18 A         8 A         6 A   
   2.00 keV   1.130E-01  1.923E+00      19 A         8 A         6 A   
   2.25 keV   1.198E-01  2.045E+00      20 A         9 A         6 A   
   2.50 keV   1.263E-01  2.159E+00      21 A         9 A         7 A   
   2.75 keV   1.324E-01  2.267E+00      22 A        10 A         7 A   
   3.00 keV   1.383E-01  2.368E+00      23 A        10 A         7 A   
   3.25 keV   1.440E-01  2.465E+00      24 A        10 A         7 A   
   3.50 keV   1.494E-01  2.558E+00      25 A        11 A         8 A   
   3.75 keV   1.547E-01  2.646E+00      25 A        11 A         8 A   
   4.00 keV   1.597E-01  2.731E+00      26 A        11 A         8 A   
   4.50 keV   1.694E-01  2.890E+00      27 A        12 A         8 A   
