 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/42Si_in_cu.txt

 Ion = Silicon      [14] , Mass = 42.01808 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silicon      [14] , Mass = 42.01808 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.490E-02  5.703E-01      15 A        11 A         9 A   
   1.10 keV   4.709E-02  5.909E-01      15 A        12 A         9 A   
   1.20 keV   4.919E-02  6.099E-01      16 A        13 A        10 A   
   1.30 keV   5.119E-02  6.276E-01      17 A        13 A        10 A   
   1.40 keV   5.313E-02  6.441E-01      18 A        14 A        10 A   
   1.50 keV   5.499E-02  6.596E-01      18 A        14 A        11 A   
   1.60 keV   5.679E-02  6.742E-01      19 A        15 A        11 A   
   1.70 keV   5.854E-02  6.880E-01      20 A        15 A        11 A   
   1.80 keV   6.024E-02  7.010E-01      21 A        16 A        12 A   
   2.00 keV   6.350E-02  7.251E-01      22 A        17 A        12 A   
   2.25 keV   6.735E-02  7.521E-01      24 A        18 A        13 A   
   2.50 keV   7.099E-02  7.763E-01      25 A        19 A        14 A   
   2.75 keV   7.446E-02  7.981E-01      27 A        20 A        15 A   
   3.00 keV   7.777E-02  8.179E-01      29 A        21 A        15 A   
   3.25 keV   8.094E-02  8.360E-01      30 A        22 A        16 A   
   3.50 keV   8.400E-02  8.526E-01      32 A        23 A        17 A   
   3.75 keV   8.695E-02  8.680E-01      33 A        24 A        17 A   
   4.00 keV   8.980E-02  8.822E-01      35 A        25 A        18 A   
   4.50 keV   9.525E-02  9.078E-01      38 A        27 A        19 A   
