 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/50Ca_in_cu.txt

 Ion = Calcium      [20] , Mass = 49.9575 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Calcium      [20] , Mass = 49.9575 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.063E-02  7.208E-01      13 A        10 A         7 A   
   1.10 keV   4.261E-02  7.494E-01      14 A        11 A         8 A   
   1.20 keV   4.451E-02  7.761E-01      14 A        11 A         8 A   
   1.30 keV   4.633E-02  8.011E-01      15 A        11 A         8 A   
   1.40 keV   4.808E-02  8.246E-01      16 A        12 A         9 A   
   1.50 keV   4.976E-02  8.467E-01      16 A        12 A         9 A   
   1.60 keV   5.139E-02  8.677E-01      17 A        13 A         9 A   
   1.70 keV   5.298E-02  8.875E-01      18 A        13 A        10 A   
   1.80 keV   5.451E-02  9.064E-01      18 A        14 A        10 A   
   2.00 keV   5.746E-02  9.416E-01      19 A        14 A        10 A   
   2.25 keV   6.095E-02  9.815E-01      21 A        15 A        11 A   
   2.50 keV   6.424E-02  1.018E+00      22 A        16 A        12 A   
   2.75 keV   6.738E-02  1.050E+00      23 A        17 A        12 A   
   3.00 keV   7.038E-02  1.081E+00      25 A        18 A        13 A   
   3.25 keV   7.325E-02  1.109E+00      26 A        19 A        13 A   
   3.50 keV   7.601E-02  1.134E+00      27 A        19 A        14 A   
   3.75 keV   7.868E-02  1.158E+00      28 A        20 A        14 A   
   4.00 keV   8.126E-02  1.181E+00      30 A        21 A        15 A   
   4.50 keV   8.619E-02  1.222E+00      32 A        22 A        16 A   
