 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/53Co_in_cu.txt

 Ion = Cobalt       [27] , Mass = 52.9542 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cobalt       [27] , Mass = 52.9542 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.155E-02  8.336E-01      12 A         9 A         7 A   
   1.10 keV   3.308E-02  8.689E-01      12 A        10 A         7 A   
   1.20 keV   3.456E-02  9.020E-01      13 A        10 A         7 A   
   1.30 keV   3.597E-02  9.330E-01      14 A        10 A         8 A   
   1.40 keV   3.732E-02  9.623E-01      14 A        11 A         8 A   
   1.50 keV   3.863E-02  9.901E-01      15 A        11 A         8 A   
   1.60 keV   3.990E-02  1.016E+00      15 A        12 A         8 A   
   1.70 keV   4.113E-02  1.041E+00      16 A        12 A         9 A   
   1.80 keV   4.232E-02  1.065E+00      16 A        12 A         9 A   
   2.00 keV   4.461E-02  1.110E+00      17 A        13 A         9 A   
   2.25 keV   4.732E-02  1.161E+00      18 A        14 A        10 A   
   2.50 keV   4.988E-02  1.208E+00      20 A        15 A        10 A   
   2.75 keV   5.231E-02  1.251E+00      21 A        15 A        11 A   
   3.00 keV   5.464E-02  1.290E+00      22 A        16 A        11 A   
   3.25 keV   5.687E-02  1.327E+00      23 A        17 A        12 A   
   3.50 keV   5.902E-02  1.361E+00      24 A        17 A        12 A   
   3.75 keV   6.109E-02  1.393E+00      25 A        18 A        13 A   
   4.00 keV   6.309E-02  1.423E+00      26 A        19 A        13 A   
   4.50 keV   6.692E-02  1.478E+00      28 A        20 A        14 A   
