 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/55Mn_in_cu.txt

 Ion = Manganese    [25] , Mass = 54.93804 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Manganese    [25] , Mass = 54.93804 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.271E-02  8.185E-01      12 A         9 A         7 A   
   1.10 keV   3.431E-02  8.528E-01      13 A        10 A         7 A   
   1.20 keV   3.584E-02  8.848E-01      14 A        10 A         7 A   
   1.30 keV   3.730E-02  9.149E-01      14 A        11 A         8 A   
   1.40 keV   3.871E-02  9.433E-01      15 A        11 A         8 A   
   1.50 keV   4.007E-02  9.701E-01      15 A        11 A         8 A   
   1.60 keV   4.138E-02  9.956E-01      16 A        12 A         8 A   
   1.70 keV   4.265E-02  1.020E+00      16 A        12 A         9 A   
   1.80 keV   4.389E-02  1.043E+00      17 A        13 A         9 A   
   2.00 keV   4.627E-02  1.086E+00      18 A        13 A         9 A   
   2.25 keV   4.907E-02  1.135E+00      19 A        14 A        10 A   
   2.50 keV   5.173E-02  1.180E+00      20 A        15 A        10 A   
   2.75 keV   5.425E-02  1.221E+00      22 A        15 A        11 A   
   3.00 keV   5.666E-02  1.259E+00      23 A        16 A        12 A   
   3.25 keV   5.898E-02  1.294E+00      24 A        17 A        12 A   
   3.50 keV   6.120E-02  1.327E+00      25 A        18 A        13 A   
   3.75 keV   6.335E-02  1.358E+00      26 A        18 A        13 A   
   4.00 keV   6.543E-02  1.387E+00      27 A        19 A        13 A   
   4.50 keV   6.940E-02  1.439E+00      29 A        20 A        14 A   
