 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/84Cu_in_cu.txt

 Ion = Copper       [29] , Mass = 83.98527 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Copper       [29] , Mass = 83.98527 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.987E-02  9.649E-01      13 A         9 A         6 A   
   1.10 keV   2.084E-02  1.008E+00      14 A         9 A         6 A   
   1.20 keV   2.177E-02  1.048E+00      14 A         9 A         7 A   
   1.30 keV   2.266E-02  1.086E+00      15 A        10 A         7 A   
   1.40 keV   2.351E-02  1.122E+00      16 A        10 A         7 A   
   1.50 keV   2.434E-02  1.156E+00      16 A        10 A         7 A   
   1.60 keV   2.514E-02  1.189E+00      17 A        11 A         8 A   
   1.70 keV   2.591E-02  1.220E+00      17 A        11 A         8 A   
   1.80 keV   2.666E-02  1.250E+00      18 A        11 A         8 A   
   2.00 keV   2.811E-02  1.306E+00      19 A        12 A         8 A   
   2.25 keV   2.981E-02  1.370E+00      20 A        12 A         9 A   
   2.50 keV   3.142E-02  1.429E+00      21 A        13 A         9 A   
   2.75 keV   3.296E-02  1.483E+00      22 A        14 A        10 A   
   3.00 keV   3.442E-02  1.533E+00      23 A        14 A        10 A   
   3.25 keV   3.583E-02  1.580E+00      24 A        15 A        11 A   
   3.50 keV   3.718E-02  1.624E+00      26 A        15 A        11 A   
   3.75 keV   3.848E-02  1.665E+00      27 A        16 A        11 A   
   4.00 keV   3.975E-02  1.704E+00      28 A        16 A        12 A   
   4.50 keV   4.216E-02  1.776E+00      30 A        17 A        13 A   
