 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/106In_in_h.txt

 Ion = Indium       [49] , Mass = 105.9135 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Indium       [49] , Mass = 105.9135 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.140E-01  5.403E+00   44.34 um     3.45 um     2.26 um  
   1.10 keV   4.342E-01  5.669E+00   46.18 um     3.58 um     2.35 um  
   1.20 keV   4.535E-01  5.919E+00   47.95 um     3.71 um     2.44 um  
   1.30 keV   4.720E-01  6.158E+00   49.64 um     3.84 um     2.52 um  
   1.40 keV   4.898E-01  6.384E+00   51.27 um     3.95 um     2.60 um  
   1.50 keV   5.070E-01  6.601E+00   52.85 um     4.06 um     2.68 um  
   1.60 keV   5.237E-01  6.809E+00   54.37 um     4.17 um     2.75 um  
   1.70 keV   5.398E-01  7.008E+00   55.85 um     4.27 um     2.82 um  
   1.80 keV   5.554E-01  7.200E+00   57.29 um     4.37 um     2.89 um  
   2.00 keV   5.855E-01  7.563E+00   60.06 um     4.57 um     3.03 um  
   2.25 keV   6.210E-01  7.985E+00   63.34 um     4.80 um     3.19 um  
   2.50 keV   6.546E-01  8.375E+00   66.47 um     5.02 um     3.34 um  
   2.75 keV   6.865E-01  8.738E+00   69.45 um     5.22 um     3.49 um  
   3.00 keV   7.171E-01  9.079E+00   72.32 um     5.41 um     3.63 um  
   3.25 keV   7.463E-01  9.400E+00   75.08 um     5.59 um     3.76 um  
   3.50 keV   7.745E-01  9.703E+00   77.75 um     5.76 um     3.89 um  
