 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/112Sn_in_h.txt

 Ion = Tin          [50] , Mass = 111.9048 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tin          [50] , Mass = 111.9048 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.927E-01  5.285E+00   45.76 um     3.48 um     2.28 um  
   1.10 keV   4.119E-01  5.546E+00   47.65 um     3.62 um     2.37 um  
   1.20 keV   4.302E-01  5.794E+00   49.46 um     3.75 um     2.45 um  
   1.30 keV   4.478E-01  6.029E+00   51.19 um     3.87 um     2.54 um  
   1.40 keV   4.647E-01  6.254E+00   52.86 um     3.99 um     2.62 um  
   1.50 keV   4.810E-01  6.468E+00   54.48 um     4.10 um     2.69 um  
   1.60 keV   4.968E-01  6.674E+00   56.04 um     4.21 um     2.77 um  
   1.70 keV   5.121E-01  6.871E+00   57.55 um     4.31 um     2.84 um  
   1.80 keV   5.269E-01  7.061E+00   59.02 um     4.41 um     2.91 um  
   2.00 keV   5.554E-01  7.421E+00   61.85 um     4.61 um     3.04 um  
   2.25 keV   5.891E-01  7.839E+00   65.21 um     4.84 um     3.20 um  
   2.50 keV   6.210E-01  8.227E+00   68.40 um     5.06 um     3.35 um  
   2.75 keV   6.513E-01  8.588E+00   71.44 um     5.26 um     3.50 um  
   3.00 keV   6.802E-01  8.927E+00   74.36 um     5.45 um     3.64 um  
   3.25 keV   7.080E-01  9.246E+00   77.18 um     5.64 um     3.77 um  
   3.50 keV   7.347E-01  9.548E+00   79.90 um     5.81 um     3.90 um  
