 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/120Ag_in_h.txt

 Ion = Silver       [47] , Mass = 119.9188 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silver       [47] , Mass = 119.9188 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    6.270E-01  5.030E+00   45.47 um     3.25 um     2.11 um  
   1.10 keV   6.576E-01  5.279E+00   47.37 um     3.38 um     2.20 um  
   1.20 keV   6.868E-01  5.514E+00   49.19 um     3.51 um     2.28 um  
   1.30 keV   7.148E-01  5.738E+00   50.93 um     3.62 um     2.36 um  
   1.40 keV   7.418E-01  5.952E+00   52.61 um     3.74 um     2.44 um  
   1.50 keV   7.679E-01  6.155E+00   54.23 um     3.84 um     2.51 um  
   1.60 keV   7.930E-01  6.351E+00   55.79 um     3.94 um     2.58 um  
   1.70 keV   8.175E-01  6.539E+00   57.31 um     4.04 um     2.65 um  
   1.80 keV   8.412E-01  6.720E+00   58.79 um     4.14 um     2.71 um  
   2.00 keV   8.867E-01  7.062E+00   61.64 um     4.32 um     2.84 um  
   2.25 keV   9.404E-01  7.460E+00   65.01 um     4.55 um     2.99 um  
   2.50 keV   9.913E-01  7.828E+00   68.21 um     4.76 um     3.14 um  
   2.75 keV   1.040E+00  8.172E+00   71.27 um     4.95 um     3.27 um  
   3.00 keV   1.086E+00  8.494E+00   74.20 um     5.13 um     3.40 um  
   3.25 keV   1.130E+00  8.798E+00   77.03 um     5.31 um     3.53 um  
   3.50 keV   1.173E+00  9.085E+00   79.76 um     5.47 um     3.65 um  
