 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/144Pr_in_h.txt

 Ion = Praseodymium [59] , Mass = 143.9133 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 143.9133 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.482E-01  4.828E+00   52.04 um     3.57 um     2.31 um  
   1.10 keV   3.652E-01  5.079E+00   54.12 um     3.70 um     2.40 um  
   1.20 keV   3.815E-01  5.316E+00   56.10 um     3.83 um     2.48 um  
   1.30 keV   3.970E-01  5.543E+00   57.99 um     3.96 um     2.57 um  
   1.40 keV   4.120E-01  5.760E+00   59.82 um     4.08 um     2.64 um  
   1.50 keV   4.265E-01  5.967E+00   61.57 um     4.19 um     2.72 um  
   1.60 keV   4.405E-01  6.167E+00   63.27 um     4.29 um     2.79 um  
   1.70 keV   4.540E-01  6.359E+00   64.91 um     4.40 um     2.86 um  
   1.80 keV   4.672E-01  6.545E+00   66.51 um     4.50 um     2.93 um  
   2.00 keV   4.925E-01  6.898E+00   69.57 um     4.70 um     3.05 um  
   2.25 keV   5.223E-01  7.310E+00   73.20 um     4.93 um     3.21 um  
   2.50 keV   5.506E-01  7.693E+00   76.63 um     5.15 um     3.35 um  
   2.75 keV   5.774E-01  8.053E+00   79.90 um     5.36 um     3.49 um  
   3.00 keV   6.031E-01  8.392E+00   83.03 um     5.55 um     3.62 um  
   3.25 keV   6.278E-01  8.713E+00   86.04 um     5.73 um     3.75 um  
   3.50 keV   6.515E-01  9.018E+00   88.94 um     5.90 um     3.87 um  
