 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/157Hf_in_h.txt

 Ion = Hafnium      [72] , Mass = 156.9583 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Hafnium      [72] , Mass = 156.9583 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.583E-01  4.802E+00   46.27 um     2.85 um     1.83 um  
   1.10 keV   1.005E+00  5.059E+00   48.13 um     2.96 um     1.90 um  
   1.20 keV   1.050E+00  5.302E+00   49.91 um     3.07 um     1.97 um  
   1.30 keV   1.093E+00  5.535E+00   51.62 um     3.17 um     2.03 um  
   1.40 keV   1.134E+00  5.759E+00   53.25 um     3.27 um     2.09 um  
   1.50 keV   1.174E+00  5.973E+00   54.82 um     3.36 um     2.15 um  
   1.60 keV   1.212E+00  6.180E+00   56.34 um     3.45 um     2.21 um  
   1.70 keV   1.249E+00  6.379E+00   57.82 um     3.54 um     2.27 um  
   1.80 keV   1.286E+00  6.571E+00   59.24 um     3.62 um     2.32 um  
   2.00 keV   1.355E+00  6.939E+00   61.98 um     3.79 um     2.43 um  
   2.25 keV   1.437E+00  7.368E+00   65.21 um     3.99 um     2.55 um  
   2.50 keV   1.515E+00  7.770E+00   68.26 um     4.17 um     2.67 um  
   2.75 keV   1.589E+00  8.148E+00   71.17 um     4.34 um     2.78 um  
   3.00 keV   1.660E+00  8.506E+00   73.94 um     4.50 um     2.88 um  
   3.25 keV   1.728E+00  8.845E+00   76.61 um     4.65 um     2.99 um  
   3.50 keV   1.793E+00  9.167E+00   79.18 um     4.79 um     3.08 um  
