 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/164Dy_in_h.txt

 Ion = Dysprosium   [66] , Mass = 163.9292 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Dysprosium   [66] , Mass = 163.9292 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.761E-01  4.612E+00   48.51 um     2.94 um     1.88 um  
   1.10 keV   9.189E-01  4.857E+00   50.47 um     3.06 um     1.96 um  
   1.20 keV   9.597E-01  5.090E+00   52.34 um     3.17 um     2.03 um  
   1.30 keV   9.989E-01  5.313E+00   54.13 um     3.28 um     2.09 um  
   1.40 keV   1.037E+00  5.526E+00   55.85 um     3.38 um     2.16 um  
   1.50 keV   1.073E+00  5.730E+00   57.50 um     3.47 um     2.22 um  
   1.60 keV   1.108E+00  5.927E+00   59.10 um     3.57 um     2.28 um  
   1.70 keV   1.142E+00  6.117E+00   60.65 um     3.65 um     2.34 um  
   1.80 keV   1.175E+00  6.301E+00   62.15 um     3.74 um     2.40 um  
   2.00 keV   1.239E+00  6.651E+00   65.02 um     3.91 um     2.50 um  
   2.25 keV   1.314E+00  7.060E+00   68.42 um     4.11 um     2.63 um  
   2.50 keV   1.385E+00  7.443E+00   71.63 um     4.30 um     2.75 um  
   2.75 keV   1.453E+00  7.802E+00   74.69 um     4.48 um     2.87 um  
   3.00 keV   1.517E+00  8.142E+00   77.61 um     4.64 um     2.97 um  
   3.25 keV   1.579E+00  8.464E+00   80.41 um     4.80 um     3.08 um  
   3.50 keV   1.639E+00  8.771E+00   83.12 um     4.95 um     3.18 um  
