 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/177Re_in_h.txt

 Ion = Rhenium      [75] , Mass = 176.9503 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhenium      [75] , Mass = 176.9503 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.839E-01  4.535E+00   48.58 um     2.81 um     1.79 um  
   1.10 keV   1.032E+00  4.780E+00   50.53 um     2.93 um     1.86 um  
   1.20 keV   1.078E+00  5.014E+00   52.39 um     3.03 um     1.93 um  
   1.30 keV   1.122E+00  5.238E+00   54.17 um     3.14 um     1.99 um  
   1.40 keV   1.164E+00  5.452E+00   55.87 um     3.23 um     2.06 um  
   1.50 keV   1.205E+00  5.658E+00   57.51 um     3.32 um     2.11 um  
   1.60 keV   1.245E+00  5.857E+00   59.10 um     3.41 um     2.17 um  
   1.70 keV   1.283E+00  6.049E+00   60.63 um     3.50 um     2.23 um  
   1.80 keV   1.320E+00  6.235E+00   62.11 um     3.58 um     2.28 um  
   2.00 keV   1.391E+00  6.589E+00   64.96 um     3.74 um     2.38 um  
   2.25 keV   1.476E+00  7.005E+00   68.32 um     3.94 um     2.50 um  
   2.50 keV   1.556E+00  7.394E+00   71.49 um     4.12 um     2.62 um  
   2.75 keV   1.632E+00  7.760E+00   74.51 um     4.29 um     2.72 um  
   3.00 keV   1.704E+00  8.107E+00   77.38 um     4.45 um     2.83 um  
   3.25 keV   1.774E+00  8.437E+00   80.15 um     4.60 um     2.92 um  
   3.50 keV   1.841E+00  8.751E+00   82.80 um     4.74 um     3.02 um  
