 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/186W_in_h.txt

 Ion = Tungsten     [74] , Mass = 185.9544 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tungsten     [74] , Mass = 185.9544 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.078E-01  4.403E+00   50.72 um     2.89 um     1.84 um  
   1.10 keV   9.521E-01  4.641E+00   52.75 um     3.01 um     1.91 um  
   1.20 keV   9.945E-01  4.869E+00   54.68 um     3.12 um     1.98 um  
   1.30 keV   1.035E+00  5.087E+00   56.52 um     3.22 um     2.04 um  
   1.40 keV   1.074E+00  5.296E+00   58.29 um     3.32 um     2.11 um  
   1.50 keV   1.112E+00  5.497E+00   60.00 um     3.41 um     2.17 um  
   1.60 keV   1.148E+00  5.690E+00   61.64 um     3.50 um     2.22 um  
   1.70 keV   1.184E+00  5.877E+00   63.23 um     3.59 um     2.28 um  
   1.80 keV   1.218E+00  6.058E+00   64.78 um     3.67 um     2.34 um  
   2.00 keV   1.284E+00  6.404E+00   67.73 um     3.84 um     2.44 um  
   2.25 keV   1.362E+00  6.809E+00   71.22 um     4.04 um     2.56 um  
   2.50 keV   1.435E+00  7.189E+00   74.51 um     4.23 um     2.68 um  
   2.75 keV   1.505E+00  7.547E+00   77.64 um     4.40 um     2.79 um  
   3.00 keV   1.572E+00  7.885E+00   80.63 um     4.56 um     2.89 um  
   3.25 keV   1.637E+00  8.207E+00   83.49 um     4.71 um     2.99 um  
   3.50 keV   1.698E+00  8.514E+00   86.25 um     4.86 um     3.09 um  
