 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/210Ac_in_h.txt

 Ion = Actinium     [89] , Mass = 210.0094 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Actinium     [89] , Mass = 210.0094 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.029E+00  4.248E+00   51.52 um     2.74 um     1.73 um  
   1.10 keV   1.079E+00  4.484E+00   53.56 um     2.85 um     1.80 um  
   1.20 keV   1.127E+00  4.710E+00   55.51 um     2.95 um     1.86 um  
   1.30 keV   1.173E+00  4.927E+00   57.36 um     3.05 um     1.93 um  
   1.40 keV   1.217E+00  5.135E+00   59.14 um     3.14 um     1.98 um  
   1.50 keV   1.260E+00  5.336E+00   60.85 um     3.23 um     2.04 um  
   1.60 keV   1.301E+00  5.529E+00   62.50 um     3.32 um     2.10 um  
   1.70 keV   1.341E+00  5.716E+00   64.09 um     3.40 um     2.15 um  
   1.80 keV   1.380E+00  5.898E+00   65.63 um     3.48 um     2.20 um  
   2.00 keV   1.455E+00  6.245E+00   68.59 um     3.64 um     2.30 um  
   2.25 keV   1.543E+00  6.653E+00   72.07 um     3.83 um     2.41 um  
   2.50 keV   1.626E+00  7.037E+00   75.35 um     4.01 um     2.52 um  
   2.75 keV   1.706E+00  7.399E+00   78.47 um     4.17 um     2.62 um  
   3.00 keV   1.781E+00  7.744E+00   81.44 um     4.33 um     2.71 um  
   3.25 keV   1.854E+00  8.072E+00   84.28 um     4.48 um     2.81 um  
   3.50 keV   1.924E+00  8.385E+00   87.02 um     4.61 um     2.90 um  
