 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/214Fr_in_h.txt

 Ion = Francium     [87] , Mass = 213.999 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Francium     [87] , Mass = 213.999 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.026E+00  4.187E+00   52.09 um     2.74 um     1.73 um  
   1.10 keV   1.076E+00  4.421E+00   54.16 um     2.85 um     1.80 um  
   1.20 keV   1.124E+00  4.643E+00   56.13 um     2.96 um     1.86 um  
   1.30 keV   1.170E+00  4.857E+00   58.00 um     3.06 um     1.93 um  
   1.40 keV   1.214E+00  5.062E+00   59.80 um     3.15 um     1.98 um  
   1.50 keV   1.257E+00  5.259E+00   61.53 um     3.24 um     2.04 um  
   1.60 keV   1.298E+00  5.450E+00   63.20 um     3.32 um     2.09 um  
   1.70 keV   1.338E+00  5.634E+00   64.82 um     3.41 um     2.15 um  
   1.80 keV   1.376E+00  5.813E+00   66.38 um     3.49 um     2.20 um  
   2.00 keV   1.451E+00  6.155E+00   69.37 um     3.65 um     2.30 um  
   2.25 keV   1.539E+00  6.557E+00   72.89 um     3.84 um     2.41 um  
   2.50 keV   1.622E+00  6.935E+00   76.22 um     4.02 um     2.52 um  
   2.75 keV   1.701E+00  7.292E+00   79.37 um     4.18 um     2.62 um  
   3.00 keV   1.777E+00  7.631E+00   82.38 um     4.34 um     2.72 um  
   3.25 keV   1.850E+00  7.953E+00   85.26 um     4.48 um     2.81 um  
   3.50 keV   1.919E+00  8.262E+00   88.03 um     4.62 um     2.90 um  
