 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/238Th_in_h.txt

 Ion = Thorium      [90] , Mass = 238.0564 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Thorium      [90] , Mass = 238.0564 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.633E-01  3.964E+00   55.55 um     2.80 um     1.76 um  
   1.10 keV   1.010E+00  4.187E+00   57.74 um     2.91 um     1.83 um  
   1.20 keV   1.055E+00  4.400E+00   59.82 um     3.02 um     1.89 um  
   1.30 keV   1.098E+00  4.604E+00   61.81 um     3.12 um     1.95 um  
   1.40 keV   1.140E+00  4.801E+00   63.71 um     3.21 um     2.01 um  
   1.50 keV   1.180E+00  4.990E+00   65.54 um     3.30 um     2.07 um  
   1.60 keV   1.219E+00  5.173E+00   67.30 um     3.39 um     2.12 um  
   1.70 keV   1.256E+00  5.351E+00   69.00 um     3.47 um     2.18 um  
   1.80 keV   1.292E+00  5.522E+00   70.65 um     3.55 um     2.23 um  
   2.00 keV   1.362E+00  5.851E+00   73.81 um     3.71 um     2.33 um  
   2.25 keV   1.445E+00  6.239E+00   77.53 um     3.91 um     2.44 um  
   2.50 keV   1.523E+00  6.603E+00   81.03 um     4.09 um     2.55 um  
   2.75 keV   1.598E+00  6.948E+00   84.35 um     4.26 um     2.65 um  
   3.00 keV   1.669E+00  7.275E+00   87.51 um     4.42 um     2.75 um  
   3.25 keV   1.737E+00  7.588E+00   90.55 um     4.57 um     2.84 um  
   3.50 keV   1.802E+00  7.887E+00   93.46 um     4.71 um     2.93 um  
