 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/47Cr_in_h.txt

 Ion = Chromium     [24] , Mass = 46.96289 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Chromium     [24] , Mass = 46.96289 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.629E-01  6.143E+00   32.68 um     3.43 um     2.41 um  
   1.10 keV   5.903E-01  6.378E+00   34.27 um     3.57 um     2.53 um  
   1.20 keV   6.166E-01  6.596E+00   35.81 um     3.71 um     2.64 um  
   1.30 keV   6.418E-01  6.799E+00   37.30 um     3.84 um     2.74 um  
   1.40 keV   6.660E-01  6.990E+00   38.74 um     3.97 um     2.85 um  
   1.50 keV   6.894E-01  7.169E+00   40.15 um     4.09 um     2.95 um  
   1.60 keV   7.120E-01  7.339E+00   41.52 um     4.20 um     3.05 um  
   1.70 keV   7.339E-01  7.499E+00   42.86 um     4.32 um     3.14 um  
   1.80 keV   7.552E-01  7.651E+00   44.18 um     4.43 um     3.24 um  
   2.00 keV   7.960E-01  7.934E+00   46.72 um     4.64 um     3.42 um  
   2.25 keV   8.443E-01  8.252E+00   49.79 um     4.90 um     3.63 um  
   2.50 keV   8.900E-01  8.539E+00   52.74 um     5.14 um     3.84 um  
   2.75 keV   9.334E-01  8.800E+00   55.59 um     5.37 um     4.04 um  
   3.00 keV   9.749E-01  9.038E+00   58.35 um     5.59 um     4.24 um  
   3.25 keV   1.015E+00  9.257E+00   61.05 um     5.80 um     4.42 um  
   3.50 keV   1.053E+00  9.459E+00   63.68 um     6.00 um     4.61 um  
