 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/79As_in_h.txt

 Ion = Arsenic      [33] , Mass = 78.92095 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Arsenic      [33] , Mass = 78.92095 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.223E-01  5.555E+00   40.34 um     3.51 um     2.34 um  
   1.10 keV   4.429E-01  5.803E+00   42.14 um     3.65 um     2.45 um  
   1.20 keV   4.626E-01  6.035E+00   43.86 um     3.78 um     2.54 um  
   1.30 keV   4.815E-01  6.254E+00   45.52 um     3.91 um     2.64 um  
   1.40 keV   4.997E-01  6.461E+00   47.12 um     4.03 um     2.73 um  
   1.50 keV   5.172E-01  6.658E+00   48.68 um     4.15 um     2.81 um  
   1.60 keV   5.342E-01  6.845E+00   50.19 um     4.26 um     2.90 um  
   1.70 keV   5.506E-01  7.024E+00   51.66 um     4.37 um     2.98 um  
   1.80 keV   5.666E-01  7.195E+00   53.09 um     4.47 um     3.06 um  
   2.00 keV   5.972E-01  7.517E+00   55.85 um     4.68 um     3.22 um  
   2.25 keV   6.335E-01  7.886E+00   59.16 um     4.92 um     3.40 um  
   2.50 keV   6.677E-01  8.224E+00   62.31 um     5.15 um     3.58 um  
   2.75 keV   7.003E-01  8.536E+00   65.34 um     5.37 um     3.75 um  
   3.00 keV   7.315E-01  8.826E+00   68.26 um     5.57 um     3.92 um  
   3.25 keV   7.613E-01  9.096E+00   71.10 um     5.77 um     4.07 um  
   3.50 keV   7.901E-01  9.348E+00   73.84 um     5.96 um     4.23 um  
