 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/h/90Se_in_h.txt

 Ion = Selenium     [34] , Mass = 89.94009 amu

 Density =  8.9900E-05 g/cm3 = 5.3708E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = -2.38%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 89.94009 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.902E-01  5.286E+00   43.19 um     3.56 um     2.36 um  
   1.10 keV   4.093E-01  5.527E+00   45.09 um     3.70 um     2.46 um  
   1.20 keV   4.275E-01  5.754E+00   46.90 um     3.84 um     2.56 um  
   1.30 keV   4.449E-01  5.968E+00   48.65 um     3.97 um     2.65 um  
   1.40 keV   4.617E-01  6.171E+00   50.33 um     4.09 um     2.74 um  
   1.50 keV   4.779E-01  6.364E+00   51.96 um     4.21 um     2.83 um  
   1.60 keV   4.936E-01  6.548E+00   53.55 um     4.32 um     2.91 um  
   1.70 keV   5.088E-01  6.724E+00   55.09 um     4.43 um     2.99 um  
   1.80 keV   5.235E-01  6.893E+00   56.59 um     4.53 um     3.07 um  
   2.00 keV   5.519E-01  7.210E+00   59.49 um     4.74 um     3.22 um  
   2.25 keV   5.853E-01  7.575E+00   62.94 um     4.99 um     3.41 um  
   2.50 keV   6.170E-01  7.910E+00   66.24 um     5.22 um     3.58 um  
   2.75 keV   6.471E-01  8.220E+00   69.40 um     5.44 um     3.75 um  
   3.00 keV   6.759E-01  8.508E+00   72.45 um     5.64 um     3.91 um  
   3.25 keV   7.035E-01  8.778E+00   75.40 um     5.84 um     4.06 um  
   3.50 keV   7.300E-01  9.031E+00   78.26 um     6.02 um     4.21 um  
