 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/119Ba_in_he.txt

 Ion = Barium       [56] , Mass = 118.9307 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Barium       [56] , Mass = 118.9307 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.077E-01  3.358E+00   35.73 um     5.16 um     3.53 um  
   1.10 keV   1.130E-01  3.516E+00   37.26 um     5.37 um     3.67 um  
   1.20 keV   1.180E-01  3.665E+00   38.71 um     5.56 um     3.81 um  
   1.30 keV   1.228E-01  3.806E+00   40.11 um     5.74 um     3.94 um  
   1.40 keV   1.274E-01  3.940E+00   41.46 um     5.91 um     4.07 um  
   1.50 keV   1.319E-01  4.068E+00   42.77 um     6.08 um     4.19 um  
   1.60 keV   1.362E-01  4.190E+00   44.04 um     6.24 um     4.31 um  
   1.70 keV   1.404E-01  4.307E+00   45.27 um     6.40 um     4.42 um  
   1.80 keV   1.445E-01  4.419E+00   46.47 um     6.55 um     4.53 um  
   2.00 keV   1.523E-01  4.631E+00   48.79 um     6.84 um     4.75 um  
   2.25 keV   1.616E-01  4.875E+00   51.54 um     7.18 um     5.01 um  
   2.50 keV   1.703E-01  5.101E+00   54.17 um     7.50 um     5.25 um  
   2.75 keV   1.786E-01  5.310E+00   56.68 um     7.81 um     5.49 um  
   3.00 keV   1.866E-01  5.505E+00   59.10 um     8.09 um     5.71 um  
   3.25 keV   1.942E-01  5.688E+00   61.45 um     8.37 um     5.93 um  
   3.50 keV   2.015E-01  5.860E+00   63.71 um     8.63 um     6.14 um  
