 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/142Gd_in_he.txt

 Ion = Gadolinium   [64] , Mass = 141.9281 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gadolinium   [64] , Mass = 141.9281 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.821E-01  3.214E+00   36.28 um     4.70 um     3.18 um  
   1.10 keV   2.959E-01  3.371E+00   37.79 um     4.89 um     3.31 um  
   1.20 keV   3.090E-01  3.520E+00   39.24 um     5.06 um     3.43 um  
   1.30 keV   3.217E-01  3.662E+00   40.64 um     5.23 um     3.55 um  
   1.40 keV   3.338E-01  3.796E+00   41.98 um     5.39 um     3.66 um  
   1.50 keV   3.455E-01  3.925E+00   43.27 um     5.54 um     3.77 um  
   1.60 keV   3.569E-01  4.048E+00   44.53 um     5.69 um     3.87 um  
   1.70 keV   3.678E-01  4.166E+00   45.74 um     5.83 um     3.98 um  
   1.80 keV   3.785E-01  4.280E+00   46.93 um     5.97 um     4.08 um  
   2.00 keV   3.990E-01  4.496E+00   49.21 um     6.24 um     4.27 um  
   2.25 keV   4.232E-01  4.745E+00   51.91 um     6.55 um     4.49 um  
   2.50 keV   4.461E-01  4.977E+00   54.48 um     6.84 um     4.71 um  
   2.75 keV   4.678E-01  5.192E+00   56.94 um     7.12 um     4.91 um  
   3.00 keV   4.886E-01  5.394E+00   59.30 um     7.38 um     5.11 um  
   3.25 keV   5.086E-01  5.584E+00   61.58 um     7.62 um     5.30 um  
   3.50 keV   5.278E-01  5.763E+00   63.78 um     7.86 um     5.48 um  
