 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/169W_in_he.txt

 Ion = Tungsten     [74] , Mass = 168.9518 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tungsten     [74] , Mass = 168.9518 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.754E-01  3.066E+00   39.11 um     4.69 um     3.16 um  
   1.10 keV   2.889E-01  3.221E+00   40.71 um     4.88 um     3.29 um  
   1.20 keV   3.017E-01  3.369E+00   42.23 um     5.05 um     3.40 um  
   1.30 keV   3.140E-01  3.510E+00   43.68 um     5.22 um     3.52 um  
   1.40 keV   3.259E-01  3.644E+00   45.08 um     5.38 um     3.63 um  
   1.50 keV   3.373E-01  3.773E+00   46.44 um     5.53 um     3.73 um  
   1.60 keV   3.484E-01  3.896E+00   47.74 um     5.67 um     3.83 um  
   1.70 keV   3.591E-01  4.015E+00   49.01 um     5.81 um     3.93 um  
   1.80 keV   3.695E-01  4.129E+00   50.24 um     5.95 um     4.02 um  
   2.00 keV   3.895E-01  4.347E+00   52.61 um     6.21 um     4.20 um  
   2.25 keV   4.131E-01  4.600E+00   55.41 um     6.52 um     4.42 um  
   2.50 keV   4.355E-01  4.835E+00   58.07 um     6.81 um     4.62 um  
   2.75 keV   4.567E-01  5.055E+00   60.60 um     7.08 um     4.82 um  
   3.00 keV   4.771E-01  5.262E+00   63.03 um     7.34 um     5.00 um  
   3.25 keV   4.965E-01  5.458E+00   65.37 um     7.58 um     5.18 um  
   3.50 keV   5.153E-01  5.643E+00   67.63 um     7.81 um     5.36 um  
