 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/179Hf_in_he.txt

 Ion = Hafnium      [72] , Mass = 178.9458 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Hafnium      [72] , Mass = 178.9458 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.595E-01  2.962E+00   40.72 um     4.76 um     3.20 um  
   1.10 keV   2.722E-01  3.113E+00   42.37 um     4.95 um     3.33 um  
   1.20 keV   2.843E-01  3.256E+00   43.95 um     5.13 um     3.45 um  
   1.30 keV   2.959E-01  3.392E+00   45.46 um     5.29 um     3.56 um  
   1.40 keV   3.071E-01  3.522E+00   46.92 um     5.45 um     3.67 um  
   1.50 keV   3.179E-01  3.647E+00   48.32 um     5.61 um     3.78 um  
   1.60 keV   3.283E-01  3.766E+00   49.68 um     5.75 um     3.88 um  
   1.70 keV   3.384E-01  3.881E+00   51.00 um     5.90 um     3.98 um  
   1.80 keV   3.482E-01  3.992E+00   52.27 um     6.03 um     4.07 um  
   2.00 keV   3.671E-01  4.203E+00   54.73 um     6.30 um     4.26 um  
   2.25 keV   3.893E-01  4.449E+00   57.64 um     6.61 um     4.47 um  
   2.50 keV   4.104E-01  4.677E+00   60.39 um     6.90 um     4.68 um  
   2.75 keV   4.304E-01  4.891E+00   63.02 um     7.18 um     4.88 um  
   3.00 keV   4.496E-01  5.092E+00   65.54 um     7.44 um     5.06 um  
   3.25 keV   4.679E-01  5.282E+00   67.97 um     7.68 um     5.24 um  
   3.50 keV   4.856E-01  5.462E+00   70.31 um     7.92 um     5.42 um  
