 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/194Po_in_he.txt

 Ion = Polonium     [84] , Mass = 193.9882 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Polonium     [84] , Mass = 193.9882 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.231E-01  2.945E+00   40.74 um     4.54 um     3.05 um  
   1.10 keV   3.388E-01  3.099E+00   42.37 um     4.72 um     3.17 um  
   1.20 keV   3.539E-01  3.245E+00   43.93 um     4.89 um     3.28 um  
   1.30 keV   3.683E-01  3.384E+00   45.42 um     5.05 um     3.39 um  
   1.40 keV   3.822E-01  3.518E+00   46.85 um     5.20 um     3.49 um  
   1.50 keV   3.957E-01  3.646E+00   48.23 um     5.35 um     3.59 um  
   1.60 keV   4.086E-01  3.769E+00   49.56 um     5.49 um     3.69 um  
   1.70 keV   4.212E-01  3.887E+00   50.85 um     5.63 um     3.78 um  
   1.80 keV   4.334E-01  4.002E+00   52.11 um     5.76 um     3.87 um  
   2.00 keV   4.569E-01  4.220E+00   54.51 um     6.01 um     4.04 um  
   2.25 keV   4.846E-01  4.474E+00   57.36 um     6.31 um     4.24 um  
   2.50 keV   5.108E-01  4.712E+00   60.05 um     6.59 um     4.44 um  
   2.75 keV   5.357E-01  4.934E+00   62.61 um     6.85 um     4.62 um  
   3.00 keV   5.595E-01  5.144E+00   65.07 um     7.10 um     4.79 um  
   3.25 keV   5.824E-01  5.343E+00   67.42 um     7.33 um     4.96 um  
   3.50 keV   6.044E-01  5.532E+00   69.70 um     7.56 um     5.12 um  
