 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/199Au_in_he.txt

 Ion = Gold         [79] , Mass = 198.9688 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gold         [79] , Mass = 198.9688 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.910E-01  2.869E+00   42.10 um     4.66 um     3.13 um  
   1.10 keV   3.052E-01  3.018E+00   43.79 um     4.84 um     3.25 um  
   1.20 keV   3.187E-01  3.160E+00   45.40 um     5.01 um     3.36 um  
   1.30 keV   3.317E-01  3.295E+00   46.95 um     5.18 um     3.47 um  
   1.40 keV   3.443E-01  3.424E+00   48.43 um     5.34 um     3.58 um  
   1.50 keV   3.563E-01  3.548E+00   49.86 um     5.49 um     3.68 um  
   1.60 keV   3.680E-01  3.668E+00   51.24 um     5.63 um     3.78 um  
   1.70 keV   3.794E-01  3.782E+00   52.58 um     5.77 um     3.87 um  
   1.80 keV   3.904E-01  3.893E+00   53.87 um     5.90 um     3.97 um  
   2.00 keV   4.115E-01  4.104E+00   56.37 um     6.16 um     4.14 um  
   2.25 keV   4.364E-01  4.350E+00   59.31 um     6.47 um     4.35 um  
   2.50 keV   4.600E-01  4.580E+00   62.10 um     6.75 um     4.55 um  
   2.75 keV   4.825E-01  4.795E+00   64.76 um     7.02 um     4.73 um  
   3.00 keV   5.039E-01  4.998E+00   67.31 um     7.27 um     4.91 um  
   3.25 keV   5.245E-01  5.190E+00   69.75 um     7.51 um     5.08 um  
   3.50 keV   5.443E-01  5.372E+00   72.11 um     7.74 um     5.25 um  
