 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/19N_in_he.txt

 Ion = Nitrogen     [7] , Mass = 19.01702 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Nitrogen     [7] , Mass = 19.01702 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.739E-01  1.806E+00   34.43 um     8.58 um     6.97 um  
   1.10 keV   1.824E-01  1.826E+00   36.93 um     9.11 um     7.41 um  
   1.20 keV   1.905E-01  1.842E+00   39.40 um     9.63 um     7.85 um  
   1.30 keV   1.983E-01  1.855E+00   41.85 um    10.14 um     8.29 um  
   1.40 keV   2.057E-01  1.865E+00   44.28 um    10.64 um     8.71 um  
   1.50 keV   2.130E-01  1.874E+00   46.69 um    11.14 um     9.13 um  
   1.60 keV   2.199E-01  1.881E+00   49.09 um    11.62 um     9.54 um  
   1.70 keV   2.267E-01  1.886E+00   51.48 um    12.11 um     9.95 um  
   1.80 keV   2.333E-01  1.890E+00   53.86 um    12.59 um    10.35 um  
   2.00 keV   2.459E-01  1.895E+00   58.59 um    13.54 um    11.15 um  
   2.25 keV   2.608E-01  1.897E+00   64.47 um    14.70 um    12.13 um  
   2.50 keV   2.749E-01  1.895E+00   70.33 um    15.85 um    13.09 um  
   2.75 keV   2.883E-01  1.890E+00   76.17 um    16.98 um    14.03 um  
   3.00 keV   3.012E-01  1.882E+00   82.01 um    18.10 um    14.97 um  
   3.25 keV   3.135E-01  1.873E+00   87.84 um    19.20 um    15.89 um  
   3.50 keV   3.253E-01  1.863E+00   93.68 um    20.29 um    16.81 um  
