 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/215Ra_in_he.txt

 Ion = Radium       [88] , Mass = 215.0027 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Radium       [88] , Mass = 215.0027 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.141E-01  2.822E+00   42.97 um     4.57 um     3.07 um  
   1.10 keV   3.294E-01  2.971E+00   44.67 um     4.75 um     3.18 um  
   1.20 keV   3.441E-01  3.113E+00   46.29 um     4.92 um     3.29 um  
   1.30 keV   3.581E-01  3.249E+00   47.85 um     5.08 um     3.40 um  
   1.40 keV   3.717E-01  3.379E+00   49.34 um     5.23 um     3.50 um  
   1.50 keV   3.847E-01  3.504E+00   50.78 um     5.38 um     3.60 um  
   1.60 keV   3.973E-01  3.624E+00   52.17 um     5.52 um     3.70 um  
   1.70 keV   4.095E-01  3.740E+00   53.51 um     5.65 um     3.79 um  
   1.80 keV   4.214E-01  3.852E+00   54.81 um     5.78 um     3.88 um  
   2.00 keV   4.442E-01  4.066E+00   57.31 um     6.04 um     4.05 um  
   2.25 keV   4.712E-01  4.315E+00   60.27 um     6.34 um     4.25 um  
   2.50 keV   4.966E-01  4.548E+00   63.06 um     6.61 um     4.43 um  
   2.75 keV   5.209E-01  4.768E+00   65.72 um     6.88 um     4.61 um  
   3.00 keV   5.440E-01  4.975E+00   68.26 um     7.12 um     4.79 um  
   3.25 keV   5.663E-01  5.171E+00   70.70 um     7.36 um     4.95 um  
   3.50 keV   5.876E-01  5.358E+00   73.05 um     7.58 um     5.11 um  
