 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/222Pa_in_he.txt

 Ion = Proactinium  [91] , Mass = 222.0237 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Proactinium  [91] , Mass = 222.0237 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.004E-01  2.794E+00   43.81 um     4.60 um     3.09 um  
   1.10 keV   3.151E-01  2.943E+00   45.54 um     4.78 um     3.21 um  
   1.20 keV   3.291E-01  3.085E+00   47.18 um     4.95 um     3.32 um  
   1.30 keV   3.425E-01  3.220E+00   48.76 um     5.11 um     3.43 um  
   1.40 keV   3.555E-01  3.350E+00   50.27 um     5.27 um     3.53 um  
   1.50 keV   3.679E-01  3.475E+00   51.72 um     5.41 um     3.63 um  
   1.60 keV   3.800E-01  3.595E+00   53.13 um     5.56 um     3.72 um  
   1.70 keV   3.917E-01  3.710E+00   54.49 um     5.69 um     3.81 um  
   1.80 keV   4.031E-01  3.822E+00   55.81 um     5.82 um     3.90 um  
   2.00 keV   4.249E-01  4.036E+00   58.34 um     6.08 um     4.07 um  
   2.25 keV   4.506E-01  4.285E+00   61.32 um     6.38 um     4.27 um  
   2.50 keV   4.750E-01  4.519E+00   64.15 um     6.66 um     4.46 um  
   2.75 keV   4.982E-01  4.738E+00   66.83 um     6.92 um     4.64 um  
   3.00 keV   5.203E-01  4.946E+00   69.40 um     7.17 um     4.81 um  
   3.25 keV   5.416E-01  5.143E+00   71.87 um     7.40 um     4.97 um  
   3.50 keV   5.620E-01  5.330E+00   74.24 um     7.63 um     5.13 um  
