 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/26Mg_in_he.txt

 Ion = Magnesium    [12] , Mass = 25.98259 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Magnesium    [12] , Mass = 25.98259 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.091E-01  2.597E+00   28.86 um     6.82 um     5.44 um  
   1.10 keV   1.144E-01  2.651E+00   30.70 um     7.19 um     5.75 um  
   1.20 keV   1.195E-01  2.699E+00   32.51 um     7.54 um     6.06 um  
   1.30 keV   1.244E-01  2.743E+00   34.29 um     7.89 um     6.37 um  
   1.40 keV   1.291E-01  2.781E+00   36.04 um     8.22 um     6.66 um  
   1.50 keV   1.336E-01  2.816E+00   37.77 um     8.55 um     6.95 um  
   1.60 keV   1.380E-01  2.848E+00   39.48 um     8.88 um     7.24 um  
   1.70 keV   1.423E-01  2.877E+00   41.17 um     9.20 um     7.52 um  
   1.80 keV   1.464E-01  2.903E+00   42.85 um     9.51 um     7.80 um  
   2.00 keV   1.543E-01  2.949E+00   46.16 um    10.13 um     8.34 um  
   2.25 keV   1.637E-01  2.996E+00   50.23 um    10.89 um     9.00 um  
   2.50 keV   1.725E-01  3.034E+00   54.24 um    11.63 um     9.65 um  
   2.75 keV   1.809E-01  3.065E+00   58.20 um    12.35 um    10.28 um  
   3.00 keV   1.890E-01  3.091E+00   62.13 um    13.06 um    10.90 um  
   3.25 keV   1.967E-01  3.111E+00   66.03 um    13.75 um    11.51 um  
   3.50 keV   2.041E-01  3.128E+00   69.89 um    14.44 um    12.11 um  
