 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/42Ca_in_he.txt

 Ion = Calcium      [20] , Mass = 41.95862 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Calcium      [20] , Mass = 41.95862 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.686E-01  3.215E+00   27.47 um     5.63 um     4.27 um  
   1.10 keV   1.768E-01  3.314E+00   28.98 um     5.89 um     4.49 um  
   1.20 keV   1.847E-01  3.405E+00   30.45 um     6.14 um     4.71 um  
   1.30 keV   1.922E-01  3.488E+00   31.88 um     6.38 um     4.92 um  
   1.40 keV   1.995E-01  3.565E+00   33.27 um     6.61 um     5.12 um  
   1.50 keV   2.065E-01  3.636E+00   34.64 um     6.83 um     5.32 um  
   1.60 keV   2.132E-01  3.703E+00   35.98 um     7.05 um     5.51 um  
   1.70 keV   2.198E-01  3.765E+00   37.30 um     7.26 um     5.70 um  
   1.80 keV   2.262E-01  3.824E+00   38.60 um     7.47 um     5.89 um  
   2.00 keV   2.384E-01  3.931E+00   41.14 um     7.88 um     6.25 um  
   2.25 keV   2.529E-01  4.048E+00   44.22 um     8.36 um     6.68 um  
   2.50 keV   2.665E-01  4.151E+00   47.22 um     8.83 um     7.10 um  
   2.75 keV   2.795E-01  4.242E+00   50.15 um     9.28 um     7.51 um  
   3.00 keV   2.920E-01  4.324E+00   53.01 um     9.72 um     7.91 um  
   3.25 keV   3.039E-01  4.397E+00   55.83 um    10.14 um     8.29 um  
   3.50 keV   3.154E-01  4.462E+00   58.60 um    10.56 um     8.67 um  
