 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/45V_in_he.txt

 Ion = Vanadium     [23] , Mass = 44.96577 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Vanadium     [23] , Mass = 44.96577 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.132E-01  3.383E+00   26.72 um     5.38 um     4.02 um  
   1.10 keV   2.236E-01  3.494E+00   28.14 um     5.62 um     4.23 um  
   1.20 keV   2.336E-01  3.596E+00   29.52 um     5.85 um     4.42 um  
   1.30 keV   2.431E-01  3.690E+00   30.86 um     6.07 um     4.62 um  
   1.40 keV   2.523E-01  3.777E+00   32.17 um     6.28 um     4.80 um  
   1.50 keV   2.611E-01  3.858E+00   33.45 um     6.49 um     4.98 um  
   1.60 keV   2.697E-01  3.935E+00   34.71 um     6.69 um     5.16 um  
   1.70 keV   2.780E-01  4.006E+00   35.94 um     6.89 um     5.33 um  
   1.80 keV   2.861E-01  4.073E+00   37.15 um     7.08 um     5.50 um  
   2.00 keV   3.015E-01  4.197E+00   39.51 um     7.45 um     5.83 um  
   2.25 keV   3.198E-01  4.334E+00   42.37 um     7.89 um     6.22 um  
   2.50 keV   3.371E-01  4.455E+00   45.15 um     8.32 um     6.60 um  
   2.75 keV   3.536E-01  4.563E+00   47.85 um     8.73 um     6.97 um  
   3.00 keV   3.693E-01  4.660E+00   50.50 um     9.12 um     7.33 um  
   3.25 keV   3.844E-01  4.748E+00   53.08 um     9.50 um     7.67 um  
   3.50 keV   3.989E-01  4.827E+00   55.62 um     9.88 um     8.01 um  
