 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/48Cl_in_he.txt

 Ion = Chlorine     [17] , Mass = 47.9954 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Chlorine     [17] , Mass = 47.9954 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.060E-01  2.885E+00   30.26 um     5.73 um     4.36 um  
   1.10 keV   2.161E-01  2.973E+00   31.93 um     5.99 um     4.59 um  
   1.20 keV   2.257E-01  3.052E+00   33.55 um     6.24 um     4.81 um  
   1.30 keV   2.349E-01  3.126E+00   35.13 um     6.49 um     5.02 um  
   1.40 keV   2.438E-01  3.193E+00   36.68 um     6.72 um     5.23 um  
   1.50 keV   2.523E-01  3.256E+00   38.19 um     6.95 um     5.44 um  
   1.60 keV   2.606E-01  3.314E+00   39.68 um     7.17 um     5.63 um  
   1.70 keV   2.686E-01  3.369E+00   41.14 um     7.39 um     5.83 um  
   1.80 keV   2.764E-01  3.420E+00   42.57 um     7.60 um     6.02 um  
   2.00 keV   2.914E-01  3.513E+00   45.38 um     8.01 um     6.39 um  
   2.25 keV   3.091E-01  3.615E+00   48.79 um     8.51 um     6.84 um  
   2.50 keV   3.258E-01  3.705E+00   52.11 um     8.98 um     7.27 um  
   2.75 keV   3.417E-01  3.784E+00   55.35 um     9.44 um     7.69 um  
   3.00 keV   3.569E-01  3.854E+00   58.53 um     9.88 um     8.10 um  
   3.25 keV   3.714E-01  3.917E+00   61.64 um    10.31 um     8.49 um  
   3.50 keV   3.855E-01  3.973E+00   64.70 um    10.73 um     8.88 um  
