 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/66Cr_in_he.txt

 Ion = Chromium     [24] , Mass = 65.97301 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Chromium     [24] , Mass = 65.97301 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.373E-01  3.112E+00   31.73 um     5.53 um     4.02 um  
   1.10 keV   1.440E-01  3.225E+00   33.34 um     5.76 um     4.22 um  
   1.20 keV   1.504E-01  3.329E+00   34.89 um     5.99 um     4.41 um  
   1.30 keV   1.566E-01  3.426E+00   36.39 um     6.21 um     4.59 um  
   1.40 keV   1.625E-01  3.516E+00   37.85 um     6.42 um     4.77 um  
   1.50 keV   1.682E-01  3.601E+00   39.28 um     6.62 um     4.94 um  
   1.60 keV   1.737E-01  3.681E+00   40.67 um     6.81 um     5.11 um  
   1.70 keV   1.791E-01  3.756E+00   42.04 um     7.00 um     5.27 um  
   1.80 keV   1.843E-01  3.828E+00   43.38 um     7.18 um     5.43 um  
   2.00 keV   1.942E-01  3.960E+00   45.99 um     7.54 um     5.74 um  
   2.25 keV   2.060E-01  4.108E+00   49.13 um     7.97 um     6.12 um  
   2.50 keV   2.171E-01  4.240E+00   52.17 um     8.38 um     6.47 um  
   2.75 keV   2.277E-01  4.359E+00   55.12 um     8.77 um     6.82 um  
   3.00 keV   2.379E-01  4.468E+00   57.99 um     9.14 um     7.16 um  
   3.25 keV   2.476E-01  4.567E+00   60.80 um     9.50 um     7.48 um  
   3.50 keV   2.569E-01  4.658E+00   63.54 um     9.85 um     7.80 um  
