 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/he/72Zn_in_he.txt

 Ion = Zinc         [30] , Mass = 71.92684 amu

 Density =  1.7850E-04 g/cm3 = 2.6853E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zinc         [30] , Mass = 71.92684 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.310E-01  3.314E+00   31.20 um     5.36 um     3.83 um  
   1.10 keV   1.373E-01  3.443E+00   32.72 um     5.58 um     4.01 um  
   1.20 keV   1.435E-01  3.563E+00   34.17 um     5.79 um     4.18 um  
   1.30 keV   1.493E-01  3.675E+00   35.59 um     6.00 um     4.35 um  
   1.40 keV   1.549E-01  3.779E+00   36.96 um     6.19 um     4.51 um  
   1.50 keV   1.604E-01  3.878E+00   38.29 um     6.38 um     4.66 um  
   1.60 keV   1.656E-01  3.972E+00   39.60 um     6.57 um     4.82 um  
   1.70 keV   1.707E-01  4.060E+00   40.87 um     6.74 um     4.97 um  
   1.80 keV   1.757E-01  4.144E+00   42.12 um     6.91 um     5.11 um  
   2.00 keV   1.852E-01  4.301E+00   44.54 um     7.25 um     5.39 um  
   2.25 keV   1.964E-01  4.477E+00   47.45 um     7.64 um     5.73 um  
   2.50 keV   2.071E-01  4.637E+00   50.26 um     8.02 um     6.05 um  
   2.75 keV   2.172E-01  4.782E+00   52.97 um     8.38 um     6.36 um  
   3.00 keV   2.268E-01  4.914E+00   55.61 um     8.72 um     6.66 um  
   3.25 keV   2.361E-01  5.037E+00   58.18 um     9.05 um     6.96 um  
   3.50 keV   2.450E-01  5.150E+00   60.69 um     9.37 um     7.24 um  
