 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/101Tc_in_he_90_co2_10.txt

 Ion = Technetium   [43] , Mass = 100.9073 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Technetium   [43] , Mass = 100.9073 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.011E-01  2.844E+00   22.94 um     5.25 um     3.73 um  
   1.10 keV   1.060E-01  2.971E+00   23.95 um     5.46 um     3.88 um  
   1.20 keV   1.108E-01  3.091E+00   24.93 um     5.66 um     4.03 um  
   1.30 keV   1.153E-01  3.204E+00   25.87 um     5.85 um     4.18 um  
   1.40 keV   1.196E-01  3.311E+00   26.78 um     6.04 um     4.31 um  
   1.50 keV   1.238E-01  3.412E+00   27.66 um     6.21 um     4.45 um  
   1.60 keV   1.279E-01  3.509E+00   28.52 um     6.39 um     4.58 um  
   1.70 keV   1.318E-01  3.601E+00   29.35 um     6.55 um     4.70 um  
   1.80 keV   1.357E-01  3.690E+00   30.17 um     6.71 um     4.82 um  
   2.00 keV   1.430E-01  3.856E+00   31.74 um     7.02 um     5.06 um  
   2.25 keV   1.517E-01  4.047E+00   33.62 um     7.38 um     5.34 um  
   2.50 keV   1.599E-01  4.222E+00   35.42 um     7.72 um     5.61 um  
   2.75 keV   1.677E-01  4.383E+00   37.15 um     8.05 um     5.87 um  
   3.00 keV   1.751E-01  4.533E+00   38.82 um     8.36 um     6.12 um  
   3.25 keV   1.823E-01  4.673E+00   40.43 um     8.66 um     6.36 um  
