 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/102Rh_in_he_90_co2_10.txt

 Ion = Rhodium      [45] , Mass = 101.9068 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhodium      [45] , Mass = 101.9068 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.023E-01  2.876E+00   22.83 um     5.21 um     3.70 um  
   1.10 keV   1.073E-01  3.006E+00   23.83 um     5.42 um     3.85 um  
   1.20 keV   1.121E-01  3.128E+00   24.80 um     5.62 um     4.00 um  
   1.30 keV   1.167E-01  3.243E+00   25.73 um     5.81 um     4.14 um  
   1.40 keV   1.211E-01  3.352E+00   26.63 um     6.00 um     4.28 um  
   1.50 keV   1.253E-01  3.456E+00   27.50 um     6.17 um     4.41 um  
   1.60 keV   1.294E-01  3.555E+00   28.34 um     6.34 um     4.54 um  
   1.70 keV   1.334E-01  3.650E+00   29.17 um     6.50 um     4.66 um  
   1.80 keV   1.373E-01  3.740E+00   29.97 um     6.66 um     4.78 um  
   2.00 keV   1.447E-01  3.911E+00   31.52 um     6.97 um     5.01 um  
   2.25 keV   1.535E-01  4.107E+00   33.38 um     7.33 um     5.29 um  
   2.50 keV   1.618E-01  4.286E+00   35.15 um     7.66 um     5.56 um  
   2.75 keV   1.697E-01  4.452E+00   36.85 um     7.99 um     5.81 um  
   3.00 keV   1.772E-01  4.606E+00   38.49 um     8.29 um     6.05 um  
   3.25 keV   1.844E-01  4.750E+00   40.09 um     8.59 um     6.29 um  
