 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/108In_in_he_90_co2_10.txt

 Ion = Indium       [49] , Mass = 107.9097 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Indium       [49] , Mass = 107.9097 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.070E-01  2.894E+00   23.08 um     5.16 um     3.65 um  
   1.10 keV   1.122E-01  3.027E+00   24.08 um     5.37 um     3.80 um  
   1.20 keV   1.172E-01  3.153E+00   25.04 um     5.56 um     3.95 um  
   1.30 keV   1.220E-01  3.272E+00   25.96 um     5.75 um     4.08 um  
   1.40 keV   1.266E-01  3.384E+00   26.85 um     5.93 um     4.21 um  
   1.50 keV   1.310E-01  3.492E+00   27.72 um     6.10 um     4.34 um  
   1.60 keV   1.353E-01  3.594E+00   28.56 um     6.27 um     4.47 um  
   1.70 keV   1.395E-01  3.692E+00   29.37 um     6.43 um     4.59 um  
   1.80 keV   1.435E-01  3.786E+00   30.17 um     6.58 um     4.70 um  
   2.00 keV   1.513E-01  3.963E+00   31.71 um     6.88 um     4.93 um  
   2.25 keV   1.605E-01  4.167E+00   33.54 um     7.23 um     5.20 um  
   2.50 keV   1.691E-01  4.354E+00   35.28 um     7.56 um     5.45 um  
   2.75 keV   1.774E-01  4.528E+00   36.96 um     7.88 um     5.69 um  
   3.00 keV   1.853E-01  4.689E+00   38.58 um     8.18 um     5.93 um  
   3.25 keV   1.929E-01  4.841E+00   40.15 um     8.46 um     6.15 um  
