 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/12Li_in_he_90_co2_10.txt

 Ion = Lithium      [3] , Mass = 12.05261 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lithium      [3] , Mass = 12.05261 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    6.398E-02  5.930E-01   43.98 um    18.02 um    12.98 um  
   1.10 keV   6.711E-02  5.898E-01   47.91 um    19.48 um    13.99 um  
   1.20 keV   7.009E-02  5.862E-01   51.86 um    20.93 um    14.99 um  
   1.30 keV   7.295E-02  5.821E-01   55.83 um    22.38 um    15.98 um  
   1.40 keV   7.571E-02  5.778E-01   59.83 um    23.83 um    16.98 um  
   1.50 keV   7.836E-02  5.733E-01   63.84 um    25.28 um    17.97 um  
   1.60 keV   8.093E-02  5.686E-01   67.89 um    26.73 um    18.95 um  
   1.70 keV   8.343E-02  5.639E-01   71.95 um    28.18 um    19.94 um  
   1.80 keV   8.584E-02  5.591E-01   76.05 um    29.62 um    20.92 um  
   2.00 keV   9.049E-02  5.495E-01   84.32 um    32.52 um    22.90 um  
   2.25 keV   9.598E-02  5.375E-01   94.80 um    36.15 um    25.37 um  
   2.50 keV   1.012E-01  5.259E-01  105.45 um    39.79 um    27.85 um  
   2.75 keV   1.061E-01  5.146E-01  116.26 um    43.43 um    30.34 um  
   3.00 keV   1.108E-01  5.037E-01  127.22 um    47.08 um    32.84 um  
   3.25 keV   1.153E-01  4.933E-01  138.33 um    50.73 um    35.36 um  
