 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/141Te_in_he_90_co2_10.txt

 Ion = Tellurium    [52] , Mass = 140.9456 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tellurium    [52] , Mass = 140.9456 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.527E-02  2.657E+00   26.52 um     5.32 um     3.73 um  
   1.10 keV   8.943E-02  2.785E+00   27.63 um     5.53 um     3.88 um  
   1.20 keV   9.341E-02  2.905E+00   28.70 um     5.72 um     4.02 um  
   1.30 keV   9.722E-02  3.020E+00   29.72 um     5.91 um     4.15 um  
   1.40 keV   1.009E-01  3.128E+00   30.71 um     6.09 um     4.28 um  
   1.50 keV   1.044E-01  3.232E+00   31.66 um     6.27 um     4.41 um  
   1.60 keV   1.079E-01  3.331E+00   32.59 um     6.43 um     4.53 um  
   1.70 keV   1.112E-01  3.427E+00   33.49 um     6.59 um     4.65 um  
   1.80 keV   1.144E-01  3.518E+00   34.36 um     6.75 um     4.76 um  
   2.00 keV   1.206E-01  3.691E+00   36.05 um     7.05 um     4.98 um  
   2.25 keV   1.279E-01  3.891E+00   38.05 um     7.40 um     5.24 um  
   2.50 keV   1.348E-01  4.076E+00   39.96 um     7.73 um     5.49 um  
   2.75 keV   1.414E-01  4.248E+00   41.79 um     8.04 um     5.73 um  
   3.00 keV   1.477E-01  4.409E+00   43.55 um     8.34 um     5.95 um  
   3.25 keV   1.537E-01  4.560E+00   45.25 um     8.62 um     6.17 um  
