 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/161W_in_he_90_co2_10.txt

 Ion = Tungsten     [74] , Mass = 160.9673 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tungsten     [74] , Mass = 160.9673 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.545E-01  2.755E+00   25.17 um     4.63 um     3.23 um  
   1.10 keV   2.669E-01  2.896E+00   26.19 um     4.82 um     3.36 um  
   1.20 keV   2.788E-01  3.029E+00   27.17 um     4.99 um     3.48 um  
   1.30 keV   2.902E-01  3.156E+00   28.10 um     5.15 um     3.59 um  
   1.40 keV   3.011E-01  3.277E+00   29.00 um     5.31 um     3.70 um  
   1.50 keV   3.117E-01  3.393E+00   29.87 um     5.46 um     3.81 um  
   1.60 keV   3.219E-01  3.504E+00   30.71 um     5.61 um     3.91 um  
   1.70 keV   3.318E-01  3.612E+00   31.52 um     5.75 um     4.01 um  
   1.80 keV   3.414E-01  3.715E+00   32.32 um     5.88 um     4.10 um  
   2.00 keV   3.599E-01  3.911E+00   33.84 um     6.14 um     4.28 um  
   2.25 keV   3.817E-01  4.140E+00   35.64 um     6.45 um     4.50 um  
   2.50 keV   4.024E-01  4.353E+00   37.34 um     6.73 um     4.71 um  
   2.75 keV   4.220E-01  4.552E+00   38.97 um     7.00 um     4.90 um  
   3.00 keV   4.408E-01  4.739E+00   40.53 um     7.26 um     5.09 um  
   3.25 keV   4.588E-01  4.916E+00   42.04 um     7.50 um     5.27 um  
