 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/171Er_in_he_90_co2_10.txt

 Ion = Erbium       [68] , Mass = 170.938 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Erbium       [68] , Mass = 170.938 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.188E-01  2.628E+00   26.67 um     4.79 um     3.34 um  
   1.10 keV   2.294E-01  2.761E+00   27.75 um     4.98 um     3.47 um  
   1.20 keV   2.396E-01  2.888E+00   28.79 um     5.16 um     3.59 um  
   1.30 keV   2.494E-01  3.008E+00   29.78 um     5.33 um     3.71 um  
   1.40 keV   2.588E-01  3.123E+00   30.74 um     5.49 um     3.82 um  
   1.50 keV   2.679E-01  3.233E+00   31.66 um     5.65 um     3.93 um  
   1.60 keV   2.767E-01  3.339E+00   32.55 um     5.80 um     4.03 um  
   1.70 keV   2.852E-01  3.440E+00   33.41 um     5.94 um     4.14 um  
   1.80 keV   2.935E-01  3.538E+00   34.25 um     6.08 um     4.24 um  
   2.00 keV   3.094E-01  3.725E+00   35.87 um     6.35 um     4.42 um  
   2.25 keV   3.281E-01  3.941E+00   37.78 um     6.67 um     4.65 um  
   2.50 keV   3.459E-01  4.143E+00   39.60 um     6.96 um     4.86 um  
   2.75 keV   3.628E-01  4.331E+00   41.33 um     7.24 um     5.06 um  
   3.00 keV   3.789E-01  4.508E+00   42.99 um     7.50 um     5.26 um  
   3.25 keV   3.944E-01  4.675E+00   44.58 um     7.76 um     5.44 um  
