 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/he_90_co2_10/178Ir_in_he_90_co2_10.txt

 Ion = Iridium      [77] , Mass = 177.9611 amu

 Density =  2.9760E-04 g/cm3 = 2.6870E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    075.00    045.01   
      C      6    008.33    015.01   
      O      8    016.67    039.98   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iridium      [77] , Mass = 177.9611 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.670E-01  2.659E+00   26.26 um     4.60 um     3.20 um  
   1.10 keV   2.800E-01  2.796E+00   27.31 um     4.78 um     3.32 um  
   1.20 keV   2.924E-01  2.927E+00   28.32 um     4.95 um     3.44 um  
   1.30 keV   3.044E-01  3.051E+00   29.29 um     5.12 um     3.55 um  
   1.40 keV   3.159E-01  3.170E+00   30.22 um     5.27 um     3.66 um  
   1.50 keV   3.270E-01  3.284E+00   31.11 um     5.42 um     3.76 um  
   1.60 keV   3.377E-01  3.394E+00   31.98 um     5.56 um     3.86 um  
   1.70 keV   3.481E-01  3.499E+00   32.82 um     5.70 um     3.96 um  
   1.80 keV   3.582E-01  3.601E+00   33.63 um     5.84 um     4.05 um  
   2.00 keV   3.775E-01  3.795E+00   35.20 um     6.09 um     4.23 um  
   2.25 keV   4.005E-01  4.021E+00   37.05 um     6.40 um     4.45 um  
   2.50 keV   4.221E-01  4.231E+00   38.81 um     6.68 um     4.65 um  
   2.75 keV   4.427E-01  4.428E+00   40.48 um     6.95 um     4.84 um  
   3.00 keV   4.624E-01  4.614E+00   42.08 um     7.20 um     5.02 um  
   3.25 keV   4.813E-01  4.790E+00   43.62 um     7.44 um     5.19 um  
